output_D0_%,output_Ph,output_feed,poly_output_WCW_gl,poly_output_feed_%,poly_output_glucose_gl,poly_input_Timepoint (hr)_cos,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_agitation,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl output_glucose_gl,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l^2,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l input_Timepoint (hr)_cos,poly_output_agitation input_Timepoint (hr)_sin,poly_output_agitation input_Timepoint (hr)_cos,poly_output_glucose_gl^2
1.945526915519288,0.7645055948040683,-1.3120094348337457,-1.5863843854354074,-1.313219715641977,-0.34135765534919915,1.0,2.516615418353275,-2.0779256939209882,-0.31160703337575113,2.083271251540358,0.5415244542948109,-0.0,-1.5863843854354074,1.7157071986320094,0.2572885218519608,1.3098500672336546,0.0,0.19642593323321564,0.11652504886550263
2.030093243955856,0.69173764437376,-1.3120094348337457,-1.5863843854354074,-1.313219715641977,-0.35808925419933524,0.9659258262890683,2.516615418353275,-1.4939851217836133,-0.3168660836890829,2.083271251540358,0.5680672014540358,-0.41058649180394136,-1.5323296483137716,0.8869021177543615,0.1881070946227818,0.9096652907525538,0.05169678796559429,0.1929350392757132,0.12822791397303612
2.1020802518221995,0.9571658713433275,-1.3120094348337457,-1.5863843854354074,-1.313219715641977,-0.3848329038979045,0.8660254037844387,2.516615418353275,-1.4650394988221827,-0.30292116783651674,2.083271251540358,0.6104929097454004,-0.7931921927177036,-1.3738491779540274,0.8528679898629846,0.17634457481001675,0.7997818405022951,0.09547533706762229,0.16536813467088599,0.14809636392249378
1.6337599175157618,0.6512249767059938,-1.3120094348337457,-1.039317761379559,-1.313219715641977,-0.38545220881348075,0.7071067811865476,1.080181409119018,-1.169033704762445,-0.20280861387807014,1.3648525750605205,0.4006073267828331,-0.7349086368791083,-0.7349086368791083,1.2651947083455373,0.21949100700870625,0.7953598897183392,0.13798219513334686,0.13798219513334686,0.14857340527919116
0.09801928615456251,0.47380642129523814,-1.3120094348337457,-1.05122258249161,-1.313219715641977,-0.3848329038979045,0.5000000000000001,1.1050689179403297,-0.7681977907543167,-0.21033778650643642,1.3804862208560567,0.4045450390633007,-0.9103854614696169,-0.5256112912458051,0.5340190427396295,0.1462180505515969,0.3653830328366486,0.17328191909520313,0.10004436263531051,0.14809636392249378
-0.2623197149579226,0.4724130716233849,-1.3120094348337457,-0.9572176738140686,-1.313219715641977,-0.3848329038979045,0.45632159090047575,0.9162656750620167,-0.5281254580547527,-0.18832526023517204,1.2570371214135858,0.36836885707626515,-0.8517465752827355,-0.43679909175288845,0.3044057057213937,0.10854860880633656,0.2517661925884984,0.1750642851852775,0.0897777848322014,0.14809636392249378
1.0930510777454994,1.2491341851199045,-1.3120094348337457,-0.9501241275555927,-1.313219715641977,-0.3797557964423108,0.4067366430758002,0.9027358577632763,-0.803569316368999,-0.18710216707232805,1.2477217366131368,0.3608151447789298,-0.8679815809250508,-0.3864502981472852,0.7152963302129824,0.16654878522051014,0.3439983016319292,0.17989895202825615,0.0800961738999239,0.14421446493153378
1.0966504281388187,1.2603102956013879,-1.3120094348337457,-0.9572176738140686,-1.313219715641977,-0.38278050534399594,0.4031460314822205,0.9162656750620167,-0.5715436309786159,-0.1865151957950811,1.2570371214135858,0.3664042649067535,-0.8759840282629638,-0.3858985064627844,0.3565146343500322,0.11634351819431946,0.24071384487696365,0.17831545695932793,0.07855356524739833,0.1465209152714049
0.7027172162238985,0.7154871234228214,-0.26242014530754487,-0.7968418453615692,-0.2634824381303927,-0.3848329038979045,0.25881904510252074,0.634956926519231,-0.4355457371761138,-0.15403059782823772,0.2099538322201876,0.3066509612978576,-0.7696901179025797,-0.20623784551421184,0.29876056351129343,0.10565656893695675,0.14146788657069687,0.18671475820089417,0.05003006867490193,0.14809636392249378
-0.2691187252148001,0.7001172844759735,0.2501969441627102,-0.4699218873622474,0.2492069283448782,-0.3848329038979045,6.123233995736766e-17,0.22082658022209672,-0.08295269102103854,-0.09203737410605856,-0.1171077901115735,0.18084140451879763,-0.4699218873622474,-2.8774416760372967e-17,0.03116087266628483,0.034573500386271196,1.080900361013229e-17,0.19585675105001008,1.1992767163239743e-17,0.14809636392249378
