input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.322,,1185.31,100.0,97.25,5.01,0.0,6.75,0.0,0.0,30.01,4.74,0.24,1.3,18.02,
2.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.521,,1185.06,100.0,91.32,5.0,0.0,6.84,0.0,0.0,29.99,,,,,
4.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.7,,1184.75,100.0,86.35,5.0,0.0,6.87,0.0,0.0,29.98,,,,,
6.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.45,,1184.76,100.0,74.17,5.0,0.0,6.74,0.0,0.0,30.01,,,,,
8.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.12,,1184.69,100.0,54.39,5.0,0.0,6.73,0.0,0.0,30.0,0.0,0.0,17.36,11.64,
8.5,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.16,100.0,47.72,5.0,0.0,6.7,0.0,0.0,30.03,,,,,
8.6,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.47,100.0,45.71,5.0,0.0,6.7,0.0,0.0,30.02,,,,,
8.75,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.5,51.9999999999999,1185.19,100.0,54.68,5.01,0.0,6.76,0.0,0.0,30.0,,,,,
10.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,23.1,65.5,1185.14,100.0,57.49,5.0,0.0,6.76,8.89,0.30226,29.98,0.0,0.0,0.33,10.67,
12.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,34.4,91.5,1184.33,100.0,43.08,5.0,0.0,6.71,13.21,0.44914,29.97,0.0,0.0,0.46,10.54,
