input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.254,,1185.08,100.0,99.16,5.0,0.0,6.78,0.0,0.0,30.28,,0.32,1.8,27.47,
2.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.487,,1185.4990234375,100.0,101.12370300293,5.00000095367432,0.0,6.76224422454834,0.0,0.0,30.0,,,,,
4.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.64,,1184.38793945312,100.0,102.795303344727,5.00000095367432,0.0,6.82701015472412,0.0,0.0,30.0,,0.0,8.35,22.96,
6.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,5.22,,1184.9169921875,100.0,91.9205017089844,5.00000095367432,0.0,6.75235891342163,0.0,0.0,30.03,,,,,
8.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,13.08,,1185.54296875,100.0,56.2592811584473,5.00000381469727,0.0,6.70906782150269,0.0,0.0,29.99,,0.0,24.72,20.71,
8.38,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.6,51.0,1185.11999511719,100.0,47.8918991088867,5.00002384185791,0.0,6.70872783660889,0.0,0.0,30.0,,0.0,20.4,18.62,
8.8,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.14294433594,100.0,79.3647766113281,5.00000095367432,0.0,6.89825201034546,0.0,0.0,29.96,,,,,
8.83,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,51.0,1184.88098144531,100.0,79.448356628418,5.00000095367432,0.0,6.90097904205322,0.0,0.0,29.95,,,,,
10.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,25.1,64.0000000000001,1184.68505859375,100.0,70.3008880615234,5.00000095367432,0.0,6.76803922653198,9.05,0.3077,29.95,,0.0,0.91,18.56,
12.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,37.1,90.5,1185.00805664062,100.0,47.7340202331543,5.00000095367432,0.0,6.76428890228271,13.47,0.45798,30.0,,0.0,1.03,14.24,
14.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.7,122.0,1184.92004394531,94.1850967407227,40.0724296569824,5.00276899337769,5.814857006073,6.75269985198975,20.14,0.68476,30.0,,1.08428,3.0,13.23,
16.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,50.4,153.5,1185.56298828125,86.879997253418,38.6979904174805,5.03999900817871,13.117449760437,6.73633813858032,17.9,0.6086,30.08,,2.53608,3.95,8.41,
