input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.2883333333333333,,699.947998046875,100.0,104.46019744873048,5.013671875,0.0,6.700653076171875,0.0,0.0,29.879150390625,,0.25893,9.32,31.4,
2,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.5423333333333334,,700.10107421875,100.0,100.28130340576172,5.000000953674316,0.0,6.791102886199951,0.0,0.0,30.143369674682617,,0.21418,10.07,28.42,
4,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,1.6713333333333331,,699.7213134765625,100.0,92.7002410888672,5.001091003417969,0.0,6.899037837982178,0.0,0.0,30.112689971923828,,-0.03197,16.25,26.4,
6,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,7.253333333333333,33.5,699.8582763671875,100.0,46.38360977172852,4.994204044342041,0.0,6.826073169708252,0.0,0.0,30.11893081665039,,-0.0358,27.76,25.15,
8,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,14.22,,700.1826782226562,100.0,55.87998962402344,5.039995193481445,0.0,6.893321990966797,0.0,0.0,29.903789520263672,,-0.04603,36.18,23.35,
10,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,25.766666666666666,,700.1762084960938,100.0,20.613449096679688,5.019814968109131,0.0,6.740330219268799,10.393329620361328,0.353,29.995880126953125,,-0.0537,73.68,19.28,
12,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,28.5,,700.265625,100.0,10.809000015258787,4.980002880096436,0.0,6.702670097351074,20.243019104003903,0.688,30.03891944885254,,-0.05754,131.85,18.44,
14,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,35.333333333333336,,700.588623046875,89.80325317382812,45.33887100219727,4.999862194061279,10.16327953338623,6.734950065612793,30.189359664916992,1.026,29.95903968811035,,12.12191,136.88,16.18,
16,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,43.56666666666666,,699.75341796875,88.11334228515625,34.1816291809082,5.065025806427002,11.90464973449707,6.725534915924072,16.309999465942383,0.554,30.038970947265625,,23.14416,130.94,14.05,
18,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,45.43333333333334,116.50000000000004,700.1483154296875,93.57199096679688,39.418701171875,4.960131168365479,6.428412914276123,6.707714080810547,11.40999984741211,0.387,30.00819969177246,,28.44429,124.01,13.43,
20,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,46.43333333333334,122.50000000000006,700.0089721679688,95.55113220214844,44.026248931884766,4.97313117980957,4.392932891845703,6.720828056335449,7.980000019073486,0.271,30.00205993652344,,30.80986,116.37,12.35,
22,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,49.63333333333333,131.0000000000001,699.9484252929688,94.2716064453125,34.15483093261719,4.991829872131348,5.73551607131958,6.731250762939453,5.599999904632568,0.19,29.76844024658203,,29.09003,105.54,11.85,
24,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,51.46666666666667,123.50000000000006,700.1685180664062,92.27377319335938,39.95446014404297,4.945058822631836,7.726706981658935,6.711075782775879,3.920000076293945,0.133,29.92210960388184,,22.72219,99.17,11.33,
28,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,57.73333333333333,153.00000000000003,699.9450073242188,82.90416717529297,35.427268981933594,4.670144081115723,17.101110458374023,6.692583084106445,3.920000076293945,0.133,30.03265953063965,,-0.03005,168.91,7.81,
32,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,62.46666666666667,155.49999999999997,699.885009765625,73.92059326171875,36.20412063598633,4.351250171661377,26.08585929870605,6.905764102935791,4.510000228881836,0.153,30.069730758666992,,-0.0358,20.02,5.75,
36,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,74.6,160.00000000000003,699.8869018554688,97.44393920898438,25.448699951171875,4.704728126525879,2.574486017227173,6.851627826690674,4.510000228881836,0.153,30.026599884033203,,-0.04156,0.92,5.2,
40,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,69.2,157.50000000000009,699.788330078125,99.34764099121094,56.027320861816406,5.300000190734863,0.6216049194335938,6.884915828704834,5.186500072479248,0.176,29.97742080688477,,-0.04348,0.59,4.49,
44,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,74.39999999999999,164.49999999999997,699.9166870117188,97.6958236694336,33.65925979614258,4.986669063568115,2.312206029891968,6.724863052368164,6.854000091552734,0.232,29.983619689941406,,-0.04348,0.51,4.85,
48,5L Fermenter,5000ml,Ferm4,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,76.33333333333333,151.00000000000003,249.51510620117188,0.0,0.6697025895118713,0.0,0.0,6.584982872009277,0.0,0.0,20.88015937805176,,-0.0422,0.47,5.35,0.02
