input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.330666666666667,,1184.748046875,100.0,99.3602905273437,5.00000095367432,0.0,6.40255784988403,0.0,0.0,30.04,,,,,
2.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.459,,1185.23999023437,100.0,98.2459716796875,5.00000095367432,0.0,6.39742803573608,0.0,0.0,30.05,,,,,
4.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.756666666666667,,1185.07202148437,100.0,96.3750228881836,5.00000095367432,0.0,6.39366579055786,0.0,0.0,29.96,,,,,
6.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,2.26666666666667,,1185.00805664062,100.0,87.61865234375,5.00000095367432,0.0,6.39776992797852,0.0,0.0,29.99,,,,,
8.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,5.52666666666667,,1185.04797363281,100.0,73.7240295410156,5.00000095367432,0.0,6.37177801132202,0.0,0.0,30.02,,,,,
10.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.9,,1185.17700195312,100.0,42.7637901306152,5.00000095367432,0.0,6.19941186904907,0.0,0.0,30.03,2.44,,15.7,34.6,
10.5,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.9666666666667,51.4999999999999,1185.07104492187,100.0,40.6589584350586,4.99999904632568,0.0,6.31192922592163,7.7,0.2618,30.0,0.0,,8.14,34.3,
12.5,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,34.3666666666667,75.5,1185.15502929687,100.0,45.6183815002441,5.00000095367432,0.0,6.20112180709839,11.4,0.3876,30.01,0.0,,0.46,31.05,
14.5,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,39.7666666666667,88.5,1185.05395507812,99.368049621582,34.9704208374023,4.99999904632568,0.6409912109375,6.22813892364502,17.2,0.5848,29.99,,-0.0351,0.51,27.03,
16.5,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,48.7666666666667,109.5,1185.01501464844,92.1411666870117,47.5306091308594,4.99350500106812,7.84983110427856,6.28320121765137,25.6,0.8704,30.01,,1.2031,0.69,18.83,
18.5,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,52.2,151.0,1185.18298339844,97.844970703125,40.074291229248,5.00000095367432,2.15253090858459,6.22437810897827,17.9,0.6086,30.0,,2.60152,0.75,16.59,
