input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,0.3003333333333333,,700.0698852539062,100.0,99.69048309326172,2.5,0.0,6.7647199630737305,0.0,0.0,29.97,,,,,
2,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,0.5976666666666667,,700.36572265625,100.0,94.49817657470705,2.5,0.0,6.84158182144165,0.0,0.0,29.99,,,,,
4,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,2.353333333333333,,700.4869995117188,100.0,79.74928283691406,2.5,0.0,6.885069847106934,0.0,0.0,30.0,,,,,
6,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,7.293333333333334,67.5,699.942626953125,87.41800689697266,37.4758186340332,2.4799509048461914,12.593660354614258,6.763033866882324,0.0,0.0,30.04,,,,,
8,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,19.566666666666663,,699.6005859375,58.97159957885742,39.72761917114258,2.559998035430908,41.03377151489258,6.76370906829834,8.55,0.2907,30.03,,5.8,26.6,18.6,
10,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,31.933333333333337,,700.2216186523438,34.948970794677734,51.33483123779297,3.1357600688934326,65.07283782958984,6.744155883789063,12.7,0.4318,30.01,,0.67,20.9,12.2,
12,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,40.333333333333336,,700.35009765625,59.27322006225586,42.5288200378418,2.539789915084839,40.72299957275391,6.796745777130127,13.33,0.4532199999999999,30.01,,1.9,26.1,13.3,
14,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,50.333333333333336,,700.2205810546875,63.73130035400391,20.90072059631348,2.5134050846099854,36.25273132324219,6.759663105010986,12.53,0.4260199999999999,30.02,,4.0,21.9,9.6,
16,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,56.53333333333333,,700.680419921875,33.34029006958008,51.60565948486328,2.6600000858306885,66.51481628417969,6.74921178817749,12.53,0.4260199999999999,29.99,,0.0,0.0,5.7,
18,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,41.96666666666667,,699.9307250976562,64.64585876464844,32.77103042602539,2.503726005554199,35.36214065551758,6.777866840362549,12.84,0.43656,30.01,,0.0,0.0,4.7,
20,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,48.23333333333333,,699.8776245117188,57.7624397277832,31.29303932189941,2.545185089111328,42.30455017089844,6.752583980560303,14.77,0.50218,30.01,,0.0,0.0,1.1,
22,5L Fermenter,5000ml,Ferm6,700,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,54.76666666666667,210.5,699.959716796875,40.048561096191406,46.03419876098633,2.650986909866333,59.854129791259766,6.71044397354126,16.98,0.5773199999999999,30.0,,0.0,0.0,0.0,
