input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,0.3459999999999999,,1194.9849853515625,100.0,93.54105377197266,2.5,0.0,6.758185863494873,0.0,0.0,30.211429595947266,,,,,
2,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,0.641,,1194.7640380859375,100.0,83.92086029052734,2.5,0.0,6.813433170318604,0.0,0.0,30.0087890625,,,,,
4,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,2.543333333333333,,1194.2249755859375,100.0,72.89060974121094,2.5,0.0,6.8387980461120605,0.0,0.0,30.0209903717041,,,,,
6,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,6.253333333333334,66.5,1194.821044921875,100.0,48.669551849365234,2.5,0.0,6.7870259284973145,0.0,0.0,30.070240020751957,,,,,
8,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,21.73333333333333,,1195.1400146484375,99.50023651123048,37.95769882202149,2.5,0.5023689270019531,6.8881378173828125,7.704248905181885,0.261,29.97784996032715,,0.0,0.7,18.0,
10,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,32.1,,1195.092041015625,100.0,45.00796127319336,2.495078086853028,0.0,6.757143974304199,11.37110996246338,0.386,30.02725982666016,,0.0,0.0,17.3,
12,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,43.46666666666667,,1195.1639404296875,99.00422668457033,40.27745819091797,2.4959490299224854,0.9965590834617616,6.702591896057129,17.145780563354492,0.583,30.00871086120605,,0.0,0.0,14.5,
14,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,46.9,,1195.1099853515625,96.5806121826172,43.62065124511719,2.4800000190734863,3.414833068847656,6.8196868896484375,29.378440856933597,0.998,29.940980911254883,,4.55,6.1,11.4,
16,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,54.46666666666667,,1194.73095703125,89.71449279785156,47.53240966796875,2.470613956451416,10.275970458984377,6.701550006866455,20.584999084472656,0.699,30.064180374145508,,0.802,10.0,8.5,
18,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,62.2,,1194.93701171875,96.21208190917967,39.50421142578125,2.4800000190734863,3.788646936416626,6.714753150939941,22.1299991607666,0.752,30.06402015686035,,0.0,0.0,7.0,
20,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,45.46666666666667,,1194.4310302734375,96.46150207519533,46.14509963989258,2.4800000190734863,3.5160329341888428,6.774168968200684,22.1299991607666,0.752,29.996559143066406,,0.0,0.0,2.7,
22,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,50.3,219.0,1194.498046875,92.79947662353516,49.78395080566406,2.4600000381469727,7.182606220245361,6.721354961395264,29.270000457763672,0.995,29.971649169921875,,,,,
24,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,50.66666666666666,220.0,1195.009033203125,93.16403198242188,49.1244010925293,2.4487500190734863,6.824565887451172,6.717879772186279,29.270000457763672,0.995,29.971689224243164,,,,,
26,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.550048828125,92.35635375976562,38.95838165283203,2.4400010108947754,7.645061016082764,6.702939987182617,29.270000457763672,0.995,29.996469497680664,,14.23,4.7,4.2,
28,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,86.4,222.5,1194.9420166015625,92.2678680419922,38.367069244384766,2.420088052749634,7.730759143829346,6.741159915924072,29.270000457763672,0.995,29.996660232543945,,,,,
30,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1195.0799560546875,93.755126953125,39.93632125854492,2.4398269653320312,6.224480152130127,6.715795993804932,14.300000190734863,0.486,29.990190505981445,,8.5,4.6,,
32,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,151.0,225.0,1195.2850341796875,95.42771911621094,38.412559509277344,2.4400010108947754,4.573123931884766,6.7647881507873535,14.300000190734863,0.486,29.983970642089844,,,,,
34,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.7469482421875,96.66111755371094,40.368431091308594,2.4350368976593018,3.338421106338501,6.705371856689453,14.300000190734863,0.486,30.00259017944336,,0.012,0.0,,
36,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,165.0,229.5,1194.3890380859375,97.67536926269533,40.52762985229492,2.4457390308380127,2.3239669799804688,6.708150863647461,14.300000190734863,0.486,30.008649826049805,,,,,
38,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.9410400390625,99.04737091064452,38.8901481628418,2.4402310848236084,0.9608420729637146,6.746025085449219,14.300000190734863,0.486,29.990089416503903,,0.011,0.0,,
40,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,167.0,219.0,1195.0909423828125,98.98052978515624,40.30020904541016,2.4401540756225586,1.0179630517959597,6.727610111236572,14.300000190734863,0.486,30.0025691986084,,,,,
42,5L Fermenter,5000ml,Ferm2,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.95703125,99.38443756103516,39.79986953735352,2.455034017562866,0.6157264709472656,6.703981876373291,14.300000190734863,0.486,30.008750915527344,,0.0128,0.0,,
