input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.254,,1185.08,100,99.16,5,0,6.78,0,0,30.28,0.32,1.8,27.47
2,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.487,,1185.499023,100,101.123703,5.000000954,0,6.762244225,0,0,30,,,
4,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,1.64,,1184.387939,100,102.7953033,5.000000954,0,6.827010155,0,0,30,0,8.35,22.96
6,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,5.22,,1184.916992,100,91.92050171,5.000000954,0,6.752358913,0,0,30.03,,,
8,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,13.08,,1185.542969,100,56.25928116,5.000003815,0,6.709067822,0,0,29.99,0,24.72,20.71
8.38,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,17.6,51,1185.119995,100,47.89189911,5.000023842,0,6.708727837,0,0,30,0,20.4,18.62
8.8,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1185.142944,100,79.36477661,5.000000954,0,6.89825201,0,0,29.96,,,
8.83,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,51,1184.880981,100,79.44835663,5.000000954,0,6.900979042,0,0,29.95,,,
10,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,25.1,64,1184.685059,100,70.30088806,5.000000954,0,6.768039227,9.05,0.3077,29.95,0,0.91,18.56
12,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,37.1,90.5,1185.008057,100,47.73402023,5.000000954,0,6.764288902,13.47,0.45798,30,0,1.03,14.24
14,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,44.7,122,1184.920044,94.18509674,40.07242966,5.002768993,5.814857006,6.752699852,20.14,0.68476,30,1.08428,3,13.23
16,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,50.4,153.5,1185.562988,86.87999725,38.69799042,5.039999008,13.11744976,6.736338139,17.9,0.6086,30.08,2.53608,3.95,8.41
18,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,63.1,175.5,1185.088989,97.41956329,36.94279099,5.007289886,2.59215498,6.788490772,17.9,0.6086,30.04,0,4.45,4.15
20,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,66.8,193.5,1185.227051,96.70461273,40.74108124,5.006637096,3.300964117,6.711794853,17.9,0.6086,30,0,0.92,0.14
24,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,87.8,215.5,1184.994019,92.49050903,39.83097839,4.919998169,7.505984783,6.720657825,17.9,0.6086,30,1.26457,1.82,0.01
28,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,92.8,208,1184.787964,92.62931824,39.52452087,5.089479923,7.368031025,6.72577095,17.9,0.6086,30.01,5.00219,2.26,0
32,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,96,232.5,1184.687012,96.42719269,40.07242966,4.940000057,3.572674036,6.700888157,12.5,0.425,30,1.44739,1.85,0
36,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,91.8,202,1185.366943,97.86755371,39.57094955,5.00528717,2.133452892,6.718613148,12.5,0.425,30,0.70415,1.04,0
40,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,103.6,198.5,1184.849976,98.64218903,40.50891113,5.000088215,1.357094049,6.701910019,12.5,0.425,30,0.86049,1.12,0
44,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,104.2,206.5,1184.911011,98.93544006,40.12815094,5.021523952,1.064465046,6.724067211,12.5,0.425,30,1.49782,0.95,0
48,5L Fermenter,5000ml,Ferm4,1185,100,6.8,5,100,0,30,Media A,Glucose,0,105.6,197,1185.02002,98.88934326,40.55535126,5.000065804,1.111816049,6.71963501,12.5,0.425,30,2.26627,1.25,0
