input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.292,,1185.019043,100,99.18921661,5.000000954,0,6.732264996,0,0,30.02,0.32844,1.69,27.2
2,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.523,,1184.819946,100,93.57971191,5.000000954,0,6.839064121,0,0,29.99,,,
4,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,1.47,,1185.227051,100,88.8187027,5.000000954,0,6.890301228,0,0,29.99,0,7.93,20.25
6,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,4.76,,1185.516968,100,75.54445648,5.000000954,0,6.80845499,0,0,30,,,
8,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,11.52,,1185.069946,100,58.37654114,5.000000954,0,6.703986168,0,0,30.02,0,25.41,20.62
8.38,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1185.027954,100,49.77845001,5.000070095,0,6.720621109,0,0,30.01,,,
8.8,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,11.7,50,1184.765015,100,45.0174408,5.000000954,0,6.714300156,0,0,30,0,19.36,17.51
8.83,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,50,1184.827026,100,45.09286118,5.000000954,0,6.714632988,0,0,30,,,
10,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,24.2,65.5,1184.741943,100,55.3502388,5.000000954,0,6.714632988,8.88,0.30192,30,0,0.9,18.33
12,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,36.5,89,1184.744995,98.99977112,38.65372086,4.999999046,1.001719952,6.710307121,13.22,0.44948,30,0,0.9,13.68
14,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,45.3,118,1184.862061,93.04416656,40.19987106,5.012277126,6.956511974,6.712635994,19.77,0.67218,30.02,2.22593,3.02,12.61
16,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,52.4,153,1184.583984,82.00830078,38.87998962,5.051946163,17.99361992,6.743909836,17.9,0.6086,30.04,4.83766,4.3,6.91
18,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,63.8,189.5,1185.307983,94.0925293,40.6618309,5.008244991,5.906555176,6.738255024,17.9,0.6086,30,0,1.29,1.66
20,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,70.4,201,1184.772949,91.71076965,39.60591888,5.025198936,8.289684296,6.773853779,17.9,0.6086,30.02,0,1.19,0
24,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,95.4,213.5,1184.662964,92.00985718,39.72848129,5.041790009,7.990620136,6.726943016,17.9,0.6086,30.02,4.05156,2.07,0
28,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,96.8,212.5,1185.240967,90.64914703,39.86989975,5.038878918,9.350990295,6.704319,17.9,0.6086,29.97,10.03591,2.74,0
32,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,104.6,219.5,1185.14502,93.39026642,39.04026031,5.003982067,6.611092091,6.769528866,12.5,0.425,30.01,6.88204,1.89,0
36,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,90.8,202.5,1185.267944,94.34018707,40.5109787,5.015283108,5.65918684,6.720953941,12.5,0.425,30,6.08521,1.29,0
40,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,109.6,201,1185.029053,94.70287323,40.33185959,5.463154793,5.296363831,6.728606224,12.5,0.425,30,6.16086,1.41,0
44,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,110,213.5,1185.14502,95.10370636,39.90761185,5.149555206,4.896399975,6.710307121,12.5,0.425,29.98,6.69544,1.28,0
48,5L Fermenter,5000ml,Ferm3,1185,100,6.8,5,100,0,30,Media A,Glucose,0,110.4,194,1185.277954,95.18077087,39.79447937,4.933137894,4.819447041,6.733263969,12.5,0.425,30,7.3397,1.62,0
