input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.243333333,,1194.665039,100,97.43460846,5.000000954,0,6.770979881,0,0,30.09,0,9.61,34.55
2,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.404333333,,1194.67395,100,99.185112,5.000000954,0,6.745363235,0,0,30,0,10.12,28.81
4,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,1.143333333,,1195.503052,100,98.66197205,4.999999046,0,6.837244987,0,0,30.01,0,12.85,27.14
6,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,4.866666667,73.5,1194.740967,100,88.25955963,5.01733017,0,6.851249218,0,0,30.03,0,12.97,25.91
8,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,15.56666667,,1194.608032,100,66.49899292,5.019999981,0,6.723844051,0,0,30.01,0,0.67,20.16
10,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,26.96666667,,1195.035034,100,88.12877655,5.015061855,0,6.835196018,8.81,0.29954,29.99,-0.03772,0.92,23.09
12,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,38.13333333,,1195.203979,100,73.98390961,5.000050068,0,6.719745159,13.1,0.4454,29.98,-0.03708,0.5,21.81
14,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,47.23333333,,1195.237061,100,49.64788818,5.000011921,0,6.76483202,19.61,0.66674,30.01,-0.02302,1.34,18.52
16,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,57.2,,1194.805054,98.46822357,36.70019913,4.940497875,1.538414001,6.72521019,19.5,0.663,29.99,-0.03708,0.66,21.81
18,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,53.63333333,165,1194.582031,100,45.35211945,5.000000954,0,6.751511097,19.5,0.663,29.98,3.16252,1.82,14.32
20,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,59.63333333,194.5,1195.383057,99.70687866,40.74446869,4.96036005,0.296722412,6.708473206,19.5,0.663,29.99,-0.039,0.79,11.13
22,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,1,64.8,199,1194.807983,100,46.6599617,5.000000954,0,6.752877235,19.5,0.663,30,-0.04092,0.66,7.64
24,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,2,84.16666667,216.5,1194.916992,100,53.98390961,5.000657082,0,6.730333805,19.5,0.663,30.01,-0.03964,3.15,3.3
26,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,3,92,,1195.036987,96.63632202,45.75453186,5.106547832,3.356945038,6.724868774,22.4,0.7616,30.01,-0.04092,1.38,0.21
28,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,4,95.83333333,243,1194.938965,97.74935913,37.60564041,5.039536953,2.253299952,6.766880989,22.4,0.7616,30.02,0.61377,1.62,0.16
30,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,5,,,1195.05603,100,43.64184952,4.999999046,0,6.749462128,19.1,0.6494,29.99,-0.04028,,
32,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,6,112.8333333,231.5,1194.488037,100,42.08250046,4.999999046,0,6.719745159,19.1,0.6494,29.99,-0.0422,1.33,0.1
34,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,7,,,1194.926025,99.93444824,38.72233963,4.999999046,0.066986077,6.740239143,19.1,0.6494,29.99,-0.04348,,
36,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,8,120.6666667,227,1195.317017,99.92656708,39.90945816,4.999999046,0.073417664,6.766540051,19.1,0.6494,30.01,-0.04284,1.28,-0.12
38,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,9,,,1195.58606,99.49170685,37.84708023,4.967545986,0.502941072,6.790450096,19.1,0.6494,30.01,-0.04156,,
40,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,10,132.6666667,216,1194.94104,99.64343262,40.74446869,5.032362938,0.351104707,6.754242897,19.1,0.6494,30.02,0.36379,1.43,-0.13
44,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,11,133.3333333,212,1194.873047,99.59169769,40.47283936,5.585000038,0.407863587,6.770638943,19.1,0.6494,30,0.01662,-0.46,
48,5L Fermenter,5000ml,Ferm4,1195,100,6.8,5,100,0,30,Media A,Glucose,12,142,213,1194.920044,100,46.21730042,5.000000954,0,6.758000851,23.1,0.7854,30.02,2.735,2.53,
