input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.353,,1185.44,100,96.81,5.01,0,6.91,0,0,30.19,0.243,1.95,18
2,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.547,,1185.32,100,97.95,5,0,6.775341034,0,0,29.99,,,
4,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,1.59,,1185.22,100,94.6,5,0,6.85,0,0,30.01,,,
6,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,4.46,,1184.83,100,82.45,5,0,6.78,0,0,30.04,,,
8,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,11.32,,1184.5,100,66.11,5,0,6.71,0,0,29.99,0,15.61,14.47
8.5,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1184.75,100,57.77,5,0,6.72,0,0,29.99,,,
8.6,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,16.3,50,1184.95,100,54.25,5,0,6.72,0,0,29.99,,,
8.75,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,50,1185.07,100,70.62,5.01,0,6.86,7.06,0.24004,29.98,,,
10,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,23.4,65,1185.04,100,72.47,5,0,6.76,9.04,0.30736,29.98,0,0.37,10.22
12,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,36.2,91.5,1184.95,100,50.14,5,0,6.73,13.48,0.45832,29.99,0,0.37,9.11
14,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,43.3,121,1185.06,96.71,38.63,4.96,3.28,6.75,20.16,0.68544,30.01,0.7781,1.77,8.22
16,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,50.9,149,1185.04,99.15,38.48,4.96,0.85,6.78,17.9,0.6086,29.93,3.57794,2.43,7.84
18,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,59,171.5,1184.6,98.72,36.19,4.96,1.28,6.72,17.9,0.6086,30.01,0,0.87,2.45
20,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,66.4,189.5,1184.89,98.58,38.73,4.96,1.44,6.77,17.9,0.6086,30.01,0,0.56,0
22,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,76.8,198.5,1185.34,96.61,39.93,4.93,3.39,6.72,17.9,0.6086,29.97,0,0.7,0
24,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,77.8,207.5,1184.83,95.93,37.88,4.88,4.1,6.71,17.9,0.6086,29.99,0,1.59,0
28,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,84.8,212.5,1184.7,95.35,39.71,4.85,4.65,6.73,17.9,0.6086,30.02,1.5209,2.32,0
32,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,95,215.5,1184.57,95.17,40.41,4.83,4.83,6.7,17.9,0.6086,29.99,5.54182,1.79,0
36,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,91.8,222,1185.35,97.61,40.38,4.88,2.39,6.71,12.5,0.425,29.98,2.25493,2.15,0
40,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,98.4,204.5,1185.14,98.72,40.65,4.88,1.28,6.74,12.5,0.425,29.99,0.15725,1.82,0
44,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,98.6,200,1185.18,99.37,39.81,4.92,0.63,6.73,12.5,0.425,30.01,0,0.69,0
48,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,98.6,200.5,1184.93,99.48,40.11,4.9,0.52,6.73,12.5,0.425,30,0,0.78,0
