input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.421,,1185.88,100,97.67,5,0,6.73,0,0,30.01,0.24,1.39,15.25
2,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.61,,1184.66,100,97.96,5,0,6.89,0,0,30.01,,,
4,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,1.8,,1184.56,100,98.66,5,0,6.84,0,0,30.01,,,
6,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,4.61,,1184.6,100,81.92,5,0,6.74,0,0,30.02,,,
8,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,11.84,,1184.74,100,43.67,5,0,6.87,0,0,30.04,0,12.63,11.6
8.5,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,16.4,51,1185.13,100,40.58,5,0,6.78,0,0,30.01,,,
8.6,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1184.97,100,68.44,5,0,6.9,7.14,0.24276,29.96,,,
8.75,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,51,1185.23,99.79,37.85,5,0.21,6.91,7.34,0.24956,30.03,,,
10,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,25.1,64,1184.75,100,61.1,5,0,6.76,9.39,0.31926,30,0,0.44,9.7
12,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,36.7,94,1185.18,100,42.08,5,0,6.86,14,0.476,30.01,0,0.42,10.14
14,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,44.2,115,1184.76,96.92,39.4,4.93,3.08,6.71,20.87,0.70958,30.02,1.132,1.64,7.25
16,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,49.3,143,1185.23,88.1,38.56,4.73,11.9,6.72,17.9,0.6086,30.03,3.55543,2.43,5.13
18,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,58,171,1185.27,98.25,35.26,4.95,1.74,6.71,17.9,0.6086,30,0,0.91,2.51
20,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,65.3,187,1185.43,99.03,39.09,4.99,0.97,6.77,17.9,0.6086,29.99,0,0.66,0.36
22,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,75.6,202.5,1185.49,95.76,39.11,4.88,4.26,6.72,17.9,0.6086,30.02,0,0.72,0
24,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,79.2,209,1185.18,94.21,40.09,4.84,5.8,6.69,17.9,0.6086,30,0,0.99,0
28,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,82.6,215.5,1185.45,94.73,40.59,4.82,5.27,6.7,17.9,0.6086,30.01,0.59242,3.58,0
32,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,96.6,215.5,1185.23,94.92,40.46,4.84,5.08,6.71,17.9,0.6086,29.99,4.10252,1.77,0
36,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,92,224,1184.83,96.65,39.68,4.88,3.35,6.73,12.5,0.425,29.98,0.83563,2.6,0
40,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,97,207,1184.38,98.05,39.45,4.94,1.95,6.7,12.5,0.425,30.01,0,0.78,0
44,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,99.6,209.5,1185.46,97.96,40.83,4.93,2.04,6.76,12.5,0.425,30.01,0,0.67,0
48,5L Fermenter,5000ml,Ferm2,1185,100,6.8,5,100,0,30,Media A,Glucose,0,98,211,1185.32,97.43,39.17,4.89,2.57,6.76,12.5,0.425,30,0,0.7,0
