input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.305,,1185.371948,100,98.20915985,5.000000954,0,6.778955936,0,0,30.03,0.3215,1.65,26.21
2,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,0.501,,1184.802002,100,82.20983887,5.000000954,0,6.804696083,0,0,30.02,,,
4,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,1.55,,1185.295044,100,74.35378265,5.000000954,0,6.850261211,0,0,30.01,0,7.74,20.01
6,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,4.59,,1185.05603,100,66.3794632,5.000000954,0,6.802260876,0,0,30,,,
8,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,11.56,,1184.803955,100,57.83071899,5.000183105,0,6.715651989,0,0,30,0,24.82,19.55
8.38,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1185.108032,100,51.41070938,5.000007153,0,6.715303898,0,0,30.03,,,
8.8,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,,,1185.078003,100,48.26829147,5.000000954,0,6.720521927,0,0,30.01,,,
8.83,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,17.1,48,1184.770996,100,48.31896973,5.000000954,0,6.722260952,0,0,30.01,0,20.22,17.92
10,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,26.9,60,1185.074951,100,61.09140015,5.000000954,0,6.714609146,8.83,0.30022,29.98,0,0.87,18.38
12,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,36.3,88,1185.140991,99.91940308,39.21271133,5.000000954,0.081577301,6.702783108,13.12,0.44608,30.01,0,0.93,13.56
14,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,45.3,118.5,1184.911987,93.9694519,38.89170837,4.920084,6.033618927,6.706261158,19.65,0.6681,30.01,1.93532,3.07,12.6
16,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,52.1,152,1184.834961,78.27041626,36.59402084,5.069016933,21.73411942,6.739652157,17.9,0.6086,30.03,4.3075,4.25,7.06
18,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,64,186.5,1184.807983,93.49977112,40.98666,4.988417149,6.498997211,6.706261158,17.9,0.6086,29.99,0,1.15,1.55
20,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,71.6,197.5,1185.69397,88.98964691,37.75976181,4.974192142,11.00469971,6.815130234,17.9,0.6086,30.01,0,1.06,0
24,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,95,217,1184.927979,82.88034058,40.27708054,4.977147102,17.11956978,6.766087055,17.9,0.6086,29.95,4.7078,2.9,0
28,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,95.4,220.5,1185.255005,87.65799713,40.14191818,5.071455002,12.34200001,6.765042782,17.9,0.6086,30.01,11.79471,2.8,0
32,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,104.6,224.5,1185.343994,91.94011688,40.27708054,4.996963978,8.056144714,6.724696159,12.5,0.425,30,9.27313,1.75,0
36,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,108.8,212,1185.397949,93.89919281,40.61497116,4.960909843,6.100883007,6.710783005,12.5,0.425,30,8.74359,1.38,0
40,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,111,205,1184.901001,94.54385376,40.66564941,4.996493816,5.455448151,6.730957031,12.5,0.425,30,9.12183,1.43,0
44,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,111,211.5,1185.083984,95.41573334,39.8716011,4.979597092,4.631737232,6.712173939,12.5,0.425,29.72,9.97287,1.5,0
48,5L Fermenter,5000ml,Ferm1,1185,100,6.8,5,100,0,30,Media A,Glucose,0,111.8,199,1185.359009,96.30503845,39.60129166,4.919702053,3.693305969,6.703129768,12.5,0.425,30,11.17062,1.67,0
