input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.3183333333333333,,1194.8709716796875,100.0,90.62345123291016,5.000000953674316,0.0,6.754333972930908,0.0,0.0,29.971830368041992,,0.26661,9.56,29.99
2,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.5726666666666667,,1195.35400390625,100.0,84.37655639648438,5.000000953674316,0.0,6.903768062591553,0.0,0.0,29.95940971374512,,0.22505,10.4,27.69
4,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,1.7146666666666668,,1195.3270263671875,100.0,78.88723754882812,5.017330169677734,0.0,6.885707855224609,0.0,0.0,30.100980758666992,,-0.03644,16.32,26.49
6,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,7.395333333333333,35.0,1195.3330078125,100.0,60.37009048461914,4.999999046325684,0.0,6.830112934112549,0.0,0.0,30.039440155029297,,-0.03325,26.12,25.11
8,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,18.30666666666667,,1194.8370361328125,100.0,55.38996887207031,4.966549873352051,0.0,6.9066009521484375,0.0,0.0,30.088680267333984,,-0.0556199999999999,-1.1,22.17
10,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,31.7,,1194.9000244140625,100.0,56.14754104614258,4.97593879699707,0.0,6.744420051574707,10.364439964294434,0.352,30.19940948486328,,-0.0652099999999999,-0.8,21.68
12,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,44.0,,1194.7430419921875,99.92542266845705,38.37556076049805,5.015524864196777,0.0908966064453125,6.760707855224609,20.20605087280273,0.687,30.01481056213379,,-0.07225,2.14,18.51
14,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,47.1,,1195.3570556640625,91.95142364501952,40.62345123291016,4.797010898590088,8.042839050292969,6.713612079620361,30.133350372314453,1.024,29.971729278564453,,4.966399999999999,6.99,15.89
16,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,56.46666666666667,,1194.8790283203125,90.2623062133789,41.1077995300293,4.711030960083008,9.738166809082031,6.699801921844482,23.270000457763672,0.791,30.03334045410156,,3.81815,10.95,11.7
18,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,71.63333333333333,213.00000000000009,1194.8070068359375,98.58119201660156,38.0278205871582,4.880006790161133,1.4225120544433594,6.757874965667725,23.270000457763672,0.791,29.984050750732425,,-0.03516,2.93,4.41
20,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,79.43333333333334,251.0000000000001,1195.14794921875,92.79022216796876,36.43814849853516,4.679399967193604,7.223545074462891,6.72990083694458,30.250999450683597,1.028,29.891780853271484,,-0.04092,1.98,-0.37
22,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,92.66666666666669,231.00000000000009,1195.2139892578125,92.42091369628906,41.24441146850586,4.611618041992188,7.577434062957764,6.698386192321777,39.33000183105469,1.337,29.92906951904297,,9.20651,2.65,-0.41
24,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,107.93333333333334,246.50000000000009,1194.8780517578125,92.76277160644533,40.18877029418945,4.635744094848633,7.237614154815674,6.709716796875,25.399999618530277,0.863,29.990089416503903,,13.91846,4.71,-0.03
28,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,121.66666666666669,232.00000000000009,1194.93994140625,93.55026245117188,40.66070938110352,4.6151628494262695,6.448975086212158,6.728485107421875,25.399999618530277,0.863,29.94124984741211,,18.815810000000003,4.17,-0.06
32,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,141.79999999999998,232.50000000000003,1195.051025390625,94.55013275146484,40.12667846679688,4.737300872802734,5.449642181396484,6.713257789611816,16.299999237060547,0.554,29.94733047485352,,14.57059,2.42,-0.53
36,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,142.93333333333337,234.50000000000003,1194.8900146484375,96.89557647705078,40.2136116027832,4.9627299308776855,3.0973169803619385,6.701218128204346,13.850000381469728,0.47,29.95962905883789,,8.669469999999999,2.09,-0.08
40,5L Fermenter,5000ml,Ferm2,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,151.73333333333332,223.50000000000003,1195.197021484375,98.49590301513672,39.79135894775391,5.079999923706055,1.5080870389938354,6.708301067352295,13.850000381469728,0.47,30.045469284057617,,5.88642,1.73,-0.09
