input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
20,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,44.3,,1195.2060546875,94.66853332519533,47.840938568115234,2.5000009536743164,5.313891887664795,6.728758811950684,18.809999465942383,0.639,29.989389419555664,,0.0,0.0,1.6
22,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,53.2,223.0,1194.1820068359375,89.27761840820312,51.16495895385742,2.117906093597412,10.70736026763916,6.748175144195557,24.874500274658203,0.845,29.977069854736328,,,,
24,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,56.4,219.0,1195.303955078125,83.61141204833984,37.49612045288086,1.841161012649536,16.391620635986328,6.7611188888549805,24.874500274658203,0.845,30.00777053833008,,,,
26,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1195.2919921875,86.1736068725586,39.98136138916016,2.673712968826294,13.826510429382324,6.7420430183410645,24.874500274658203,0.845,30.001739501953125,,14.23,4.7,4.19
28,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,86.26666666666665,218.5,1195.072021484375,87.34088897705078,43.08790969848633,2.6429309844970703,12.666899681091309,6.780876159667969,24.874500274658203,0.845,30.00774955749512,,,,
30,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.800048828125,89.14675903320312,39.0649299621582,2.439284086227417,10.854470252990724,6.728076934814453,12.15999984741211,0.413,30.001710891723636,,8.516,4.3,
32,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,161.66666666666666,218.0,1195.0909423828125,92.5997314453125,41.14632034301758,2.3757870197296143,7.398440837860107,6.700486183166504,12.15999984741211,0.413,29.99544906616211,,,,
34,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.762939453125,95.11540985107422,40.57160949707031,2.4247140884399414,4.879219055175781,6.705935955047607,12.15999984741211,0.413,29.98328971862793,,0.0013,0.0,
36,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,160.33333333333334,222.0,1194.93896484375,97.18994140625,40.1522216796875,2.4532859325408936,2.8101348876953125,6.706275939941406,12.15999984741211,0.413,30.00783920288086,,,,
38,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1195.302001953125,99.51815795898438,39.9658317565918,2.4800000190734863,0.484989196062088,6.730462074279785,12.15999984741211,0.413,29.99555015563965,,0.0012,0.0,
40,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,162.33333333333334,219.0,1195.1920166015625,99.39469909667967,40.19881820678711,2.4788849353790283,0.6058350205421448,6.724670886993408,12.15999984741211,0.413,30.00782012939453,,,,
42,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1195.0169677734375,99.5634536743164,40.1522216796875,2.4800000190734863,0.4364967048168182,6.702869892120361,12.15999984741211,0.413,30.001569747924805,,0.0011,0.0,
44,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,158.0,197.0,1194.6739501953125,99.74024200439452,40.090091705322266,2.480138063430786,0.2635268867015838,6.720923900604248,12.15999984741211,0.413,30.00783920288086,,,,
46,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,,,1194.93505859375,100.0,80.35104370117188,2.5,0.0,6.895330905914307,6.130000114440918,0.208,29.995569229125977,,0.0013,0.0,
48,5L Fermenter,5000ml,Ferm3,1195,1,6.8,2.5,100,0.0,30,Media type A,Glucose,0,158.0,142.0,1195.0999755859375,100.0,77.15129089355469,2.5,0.0,6.854454040527344,6.130000114440918,0.208,30.001710891723636,,0.001,1.0,
