output_Ph,output_acetate_mmol_l,poly_output_WCW_gl,poly_output_feed_%,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_agitation,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl output_glycerol_gl,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l output_glycerol_gl,poly_output_phosphate_mmol_l input_Timepoint (hr)_cos,poly_output_gasflow output_agitation,poly_output_agitation^2,poly_output_agitation output_glucose_gl,poly_output_agitation input_Timepoint (hr)_sin,poly_output_agitation input_Timepoint (hr)_cos,poly_output_feed_% output_glycerol_gl,poly_output_feed_% output_glucose_gl,poly_output_glycerol_gl input_Timepoint (hr)_sin,poly_output_glycerol_gl input_Timepoint (hr)_cos
-0.9708342470327854,-0.0038936722330931758,-1.5957419873347758,-1.2986198151563122,0.0,2.54639249014314,-2.2531433540238184,-0.08808985544950335,2.0722621646298527,-2.940066444597978,-0.0,-1.5957419873347758,0.07794520017289647,2.601480799082154,1.411972218508232,0.0017877846045728397,0.0030473788558330983,-0.022200624860490323,0.0,0.05520306926098492,-2.392635258791436,0.5222566741059896,0.0,1.8424447485451618
-0.7631058642829236,0.03197971812353057,-1.5957419873347758,-1.2986198151563122,0.25881904510252074,2.54639249014314,-2.066546082299275,-0.0641671870190159,2.0722621646298527,-2.2119403389756074,-0.4130084173919854,-1.5413683976605033,0.05207541628386524,1.7951186470601082,1.2509103902463086,0.0013022737804025942,0.0016169651402411695,-0.016372692936315204,0.010407503345145973,0.03884133126402782,-1.8000839590207947,0.5287517449529735,0.35876243835232735,1.3389196477781828
-0.7236087132661491,0.6116547739249419,-1.5957419873347758,-1.2986198151563122,0.49999999999999994,2.54639249014314,-2.3491198764354246,-0.06099679659472376,2.0722621646298527,-2.3022026758299687,-0.7978709936673878,-1.3819530989173818,0.05627128882692376,2.1238477910649953,1.2748912453735146,0.0012379306711749517,0.0014611295034918043,-0.016190770609613346,0.01911236186014044,0.03310358179440487,-1.873539730775703,0.5500538261611754,0.7213580560335854,1.2494288034992873
-0.7660315082122024,1.0812763860547734,-1.130105276917574,-1.2986198151563122,0.7071067811865476,1.2771379369169464,-1.6496583760940573,-0.04650436705073051,1.4675771058178728,-1.514272594737391,-0.7991051047631177,-0.7991051047631177,0.06006893727970044,1.9559613706476786,1.0321911136977864,0.0013326828320201693,0.0016933614547617257,-0.0176912683621051,0.029097778736200175,0.029097778736200175,-1.7400718651962965,0.5582981140842699,0.9474802411544311,0.9474802411544311
-0.7001997299470519,1.0295287887250966,-1.0871234267252166,-1.2986198151563122,0.8660254037844386,1.1818373449347772,-1.5774622393398297,-0.046169776358548215,1.4117600234659975,-1.0169036079753195,-0.9414765045932282,-0.5435617133626084,0.061625298199046136,1.35731625803213,0.7255212244352418,0.001375405904547018,0.0018036731180770041,-0.01788847360140495,0.0367798156406167,0.021234836460854865,-1.2147389550777168,0.5469862300213323,0.8100868181633593,0.467703842533583
-1.3072947945566786,0.8339631936220292,-0.9860432281796307,-1.2986198151563122,0.9659258262890683,0.9722812478389073,-1.9221155631965954,-0.034163791028020356,1.2804952747147655,-0.12733974729884637,-0.9524446199361501,-0.255206766747259,0.06753884699382184,0.2517396181821534,0.504521607598941,9.505346612774511e-05,0.0012004392967575016,-0.01119097679179302,0.0334667762374166,0.008967395666088864,-0.1677065613082372,0.4194497293810408,0.12474174266797142,0.03342444921033386
-0.877209809410393,0.3588956856693254,-0.9340157626219345,-0.4278610435898932,0.9807852804032304,0.8723854448262339,-1.5892985229256318,-0.05094920448989318,0.39962895892483086,0.5022146694998255,-0.9160689116441911,-0.1822174358980529,0.09281848513205294,-0.914927039603051,0.33196095079481175,0.0017664722379129513,0.002975544185827172,-0.02342412824098578,0.05350041381707181,0.010641893968145123,0.23005831507077656,0.18373122949395246,-0.5273623584952063,-0.10489889519520142
-1.3701970970078443,-0.6097785500586268,-0.3754945454331121,-0.009444491019016581,0.9978589232386035,0.1409961536500195,-0.523276817124298,-0.013759733449172076,0.003546354862032741,0.2036521656852721,-0.3746905827878541,0.02455851828017569,0.051066283280561724,-0.7558110934343537,-0.0911436443212325,0.001186670108141957,0.0013428044644552522,-0.015261914723790886,0.036565838227567156,-0.002396651658176567,0.00512228758902291,0.003933518456921964,-0.5411959594020648,0.03547185724082645
-1.4272481116004525,-0.6155720562531719,-0.11444658522529352,0.6441900154295419,0.9469301294951057,0.013098020869730373,-0.08046263955043272,-0.004808854340150286,-0.07372534750214021,0.06196419088143891,-0.10837291976765985,0.03678764916059106,0.02954134195313827,-0.3806531082455103,-0.2259907343068198,-0.0033514852186035736,0.0017655400227850058,-0.01827287512051286,0.03978842229392461,-0.013506349401127197,-0.34878028908783315,-0.2801444944745241,-0.5126912190513538,0.174035217788838
-1.2985197787110914,-0.5750175128913558,0.3590822728260984,1.5963703864151586,0.8314696123025451,0.12894007865795656,0.12863140744901821,0.015314204859694126,0.5732283066262321,-0.19386338319425742,0.29856599817143276,-0.19949542198720388,0.015277544000036123,-0.19339929130380507,-0.19901784749117923,0.007003287089369557,0.0018188671274725274,0.011279857539284966,0.035460664424329,-0.023694058454761496,-0.8618575389586138,0.42221804497648624,-0.4488985512861927,0.2999444225623549
