output_Ph,poly_output_WCW_gl,poly_output_feed_%,poly_output_glucose_gl,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_agitation,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl output_glycerol_gl,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l output_glycerol_gl,poly_output_phosphate_mmol_l output_glucose_gl,poly_output_agitation output_glucose_gl,poly_output_agitation input_Timepoint (hr)_sin,poly_output_agitation input_Timepoint (hr)_cos,poly_output_feed_% output_glucose_gl,poly_output_feed_% input_Timepoint (hr)_cos,poly_output_glycerol_gl^2,poly_output_glycerol_gl output_glucose_gl,poly_output_glycerol_gl input_Timepoint (hr)_sin,poly_output_glycerol_gl input_Timepoint (hr)_cos
-0.8490862007032236,-1.592288508225293,-1.2889430128061454,-0.4041605810523215,0.0,2.5353826934263295,-2.303792538463975,-0.03618983351902782,2.052369147048512,-2.086306016119385,-0.0,-1.592288508225293,0.0328841356555597,1.8957359949447807,-0.5847571757001345,-0.009185837910454579,0.0,0.02272818859903956,0.5209399569990616,-1.2889430128061454,1.7167715170500415,-0.5295539391084143,0.0,1.3102562791492516
-0.7762750729153854,-1.592288508225293,-1.2889430128061454,-0.41660748689971855,0.25881904510252074,2.5353826934263295,-2.1667110678315393,-0.04103465726721934,2.052369147048512,-2.839050238286456,-0.4121145912265876,-1.5380325929981042,0.035067781402816266,2.4262221199877314,-0.5668998100182134,-0.010736336632198251,0.006669991496608993,0.024892747151397138,0.53698330932212,-1.245023344684297,3.179088615068907,-0.7428111041715924,0.4614743294796282,1.7222456440067528
-0.9534994604116225,-1.5891672756742812,-1.2889430128061454,-0.43338126724585047,0.49999999999999994,2.525452630074017,-2.4461398139963144,-0.04474735353883342,2.0483460561605424,-2.928725768644017,-0.7945836378371405,-1.3762592315968358,0.04334204560356424,2.8367480037616546,-0.6670859567004663,-0.012203035564226203,0.014078868292781571,0.024385315196168187,0.5586037562976117,-1.116257393120573,3.396394977191909,-0.7986918082566095,0.9214655415684175,1.5960251354204709
-1.1183527086122298,-1.068961850505621,-1.2889430128061454,-0.4334319556848122,0.7071067811865476,1.1426794378364018,-1.6876484644544198,-0.031501620508055515,1.3778309081655478,-1.7832444226353439,-0.7558701733222452,-0.7558701733222452,0.046525438121918165,2.6337130186797997,-0.6842908136627678,-0.012772961895308995,0.020837983571701035,0.020837983571701035,0.5586690908068416,-0.9114203449182444,2.7828983051284575,-0.7230521063041496,1.1795970297369474,1.1795970297369474
-1.4109764799827296,-1.0392183403136248,-1.2889430128061454,-0.4335956889641457,0.8660254037844386,1.079974758844205,-1.6731027878325062,-0.028248051099774015,1.3394932185272457,-1.219924928387398,-0.899989482790301,-0.5196091701568125,0.04376203486130263,1.889914353938864,-0.698072895614155,-0.011786005599944015,0.023540317670319808,0.01359100874376845,0.5588801336732023,-0.6444715064030728,1.3780107532269519,-0.5089923544353897,1.0166159869489628,0.5869435137274609
-1.273595256259106,-0.9558018703718714,-1.2889430128061454,-0.4330162768864818,0.9569403357322088,0.9135572154063676,-1.4435061945324774,-0.02232159259915183,1.2319741424428687,0.20508238701753495,-0.9146453627271317,-0.2774546374601103,0.03527021257707794,-0.32404943123090046,-0.6539657405941629,-0.010112569582753585,0.022348180075855355,0.006779246310670411,0.558133304524162,-0.37416040647182647,0.04603847986259015,0.09291048117197635,-0.20532666274127248,-0.06228516219872832
-1.4233380277608014,-0.692639125874787,-0.03297592962605546,-0.4330162768864818,1.0,0.4797489586925891,-0.779475295241927,-0.013483540253078406,0.022840419071099547,0.37776995215429643,-0.692639125874787,-4.2411914423338933e-17,0.02190747124979023,-0.6137842295509449,-0.4873035288677399,-0.008429486844629252,0.01946690527487746,1.1920041617091704e-18,0.014279114273545168,-2.0191933332728596e-18,0.2974683616605918,0.23616993624903793,-0.5454066021424675,-3.339652247738034e-17
-1.285958722340692,-0.3131951686929409,0.6013508800608586,-0.4330162768864818,0.9659258262890683,0.09809121369259971,-0.1830606846268104,-0.00598283129345423,-0.18834019032430907,0.1705690314563405,-0.3025233021094731,0.08106087449182983,0.011165334298122399,-0.31832090254670103,-0.25309539873237036,-0.008271721887483496,0.018451661578290892,-0.004944107818915417,-0.26039471918636226,-0.15564106054891183,0.29659939353109466,0.23582473274282817,-0.5260522802327163,0.14095528366490692
-0.989214435044166,-0.0010719135917448966,1.524008057787279,-0.013159004045734963,0.8660254037844387,1.148998748167445e-06,-0.0003030176669603774,-3.0058830637945923e-05,-0.0016336049510709263,0.0005816630046063995,-0.0009283044011129021,0.0005359567958724481,0.00792721205831994,-0.1533980492964895,-0.003719899380107622,-0.00036900761126735257,0.02428526995178771,-0.014021107144007356,-0.020054428198155488,-0.7620040288936392,0.29445798045241983,0.007140599661965623,-0.4699398741746809,0.27131991285769075
-0.22950102524536328,0.3110513415094511,0.7755024223567202,-0.4330162768864818,0.7071067811865476,0.09675293705482917,-0.10509731896396904,0.009433496191782735,0.24122106881788674,-0.16967862846857013,0.2199465128785055,-0.21994651287850547,-0.01024708074392965,0.18431242999294603,0.14630655359879283,-0.013132421738372245,0.02144497784557655,-0.021444977845576547,-0.3358051716453549,-0.5483630216750308,0.2975706767708717,0.23621054842623915,-0.38572702573897494,0.3857270257389749
