input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (µg/µl),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm6,0,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.291,,699.8953857421875,100.0,124.7947998046875,5.01748514175415,0.0,6.774229049682617,29.994720458984375,0.0,0.0,,9.79,,37.41,0.26405
5L Fermenter,5000ml,Ferm6,2,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.507,,700.185302734375,100.0,132.4427947998047,5.000000953674316,0.0,6.741422176361084,30.000900268554688,0.0,0.0,,10.26,,32.88,0.22952
5L Fermenter,5000ml,Ferm6,4,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,1.4746666666666666,,699.7230834960938,100.0,117.0072021484375,5.000448226928711,0.0,6.876658916473389,30.025630950927734,0.0,0.0,,15.76,,29.61,-0.0358
5L Fermenter,5000ml,Ferm6,6,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,5.8500000000000005,24.5,700.206787109375,99.21138000488281,36.91286849975586,4.980405807495117,0.7811316847801208,6.853330135345459,30.043920516967773,0.0,0.0,,25.95,,26.98,-0.03644
5L Fermenter,5000ml,Ferm6,8,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,13.473333333333334,,700.1506958007812,76.64922332763672,42.57027816772461,5.065213203430176,23.40781021118164,6.701323986053467,29.98855972290039,0.0,0.0,,32.39,,24.82,-0.04156
5L Fermenter,5000ml,Ferm6,10,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,25.8,,700.0479736328125,58.52634811401367,31.814210891723633,5.264723777770996,41.48912048339844,6.727933883666992,30.0314998626709,10.393329620361328,0.353,,23.7,,20.86,-0.053700000000000005
5L Fermenter,5000ml,Ferm6,12,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,39.699999999999996,,700.098388671875,39.35266876220703,14.754670143127441,5.770734786987305,60.678470611572266,6.732673168182373,30.02552032470703,20.254579544067383,0.688,,4.08,,15.58,-0.07928
5L Fermenter,5000ml,Ferm6,14,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,46.833333333333336,,699.978515625,40.64630126953125,47.983238220214844,5.805140018463135,59.332359313964844,6.785529136657715,29.976299285888672,30.206329345703125,1.026,,12.64,,12.26,5.73297
5L Fermenter,5000ml,Ferm6,16,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,53.166666666666664,,700.4182739257812,52.12417984008789,37.122398376464844,5.500720977783203,47.879249572753906,6.710072994232178,29.976360321044922,16.309999465942383,0.554,,45.36,,11.62,3.50487
5L Fermenter,5000ml,Ferm6,18,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,66.2,184.99999999999994,699.767822265625,66.49321746826172,45.36405944824219,5.198911190032959,33.507930755615234,6.7439727783203125,29.976320266723633,16.309999465942383,0.554,,146.18,,8.73,-0.03325
5L Fermenter,5000ml,Ferm6,20,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,65.33333333333333,200.99999999999994,700.0880126953125,76.43443298339844,37.54146957397461,5.090727806091309,23.569000244140625,6.801931858062744,30.02549934387207,21.200000762939453,0.72,,215.08,,4.1,0.93664
5L Fermenter,5000ml,Ferm6,22,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,68.23333333333333,191.99999999999994,700.4857177734375,81.48948669433594,35.93503952026367,5.059732913970947,18.498130798339844,6.710437774658203,29.98870086669922,21.200000762939453,0.72,,265.07,,3.02,5.517510000000001
5L Fermenter,5000ml,Ferm6,24,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,68.39999999999999,193.0,700.1375732421875,88.65384674072266,40.00349044799805,5.019999980926514,11.351380348205566,6.738870143890381,29.994779586791992,21.200000762939453,0.72,,322.49,,4.47,11.233229999999999
5L Fermenter,5000ml,Ferm6,28,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,60.666666666666664,179.00000000000006,700.192626953125,99.41818237304688,41.03369903564453,4.988890171051025,0.5805205702781677,6.709343910217285,30.001039505004883,21.200000762939453,0.72,,366.11,,3.44,28.29725
5L Fermenter,5000ml,Ferm6,32,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,57.800000000000004,172.00000000000003,699.8123168945312,100.0,62.42361068725586,5.020636081695557,0.0,6.720280170440674,29.988740921020508,12.630999565124512,0.429,,466.88,,2.32,35.04868
5L Fermenter,5000ml,Ferm6,36,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,58.46666666666666,168.49999999999997,699.8549194335938,100.0,82.835693359375,5.009538173675537,0.0,6.738505840301514,29.994800567626953,12.630999565124512,0.429,,532.66,,2.66,41.13521
5L Fermenter,5000ml,Ferm6,40,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,57.93333333333334,167.49999999999997,700.0758056640625,100.0,95.75694274902344,5.004061222076416,0.0,6.745067119598389,30.000959396362305,12.630999565124512,0.429,,613.82,,2.43,47.24093
5L Fermenter,5000ml,Ferm6,44,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,55.00000000000001,163.49999999999997,700.1895141601562,100.0,112.27519989013672,5.02534294128418,0.0,6.739964008331299,30.007020950317383,7.489999771118164,0.254,,619.42,,2.42,51.143449999999994
5L Fermenter,5000ml,Ferm6,48,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,54.199999999999996,158.49999999999997,249.88909912109375,0.0,1.484197974205017,0.0,0.0,6.550777912139893,21.427270889282227,0.0,0.0,0.04,743.98,,2.62,47.38797
