input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm3,0,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.49066666666666664,,1195.137939453125,100.0,90.13668823242188,2.5,0.0,6.729098796844482,30.222850799560547,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm3,2,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.7393333333333333,,1195.0830078125,100.0,86.57968139648438,2.5,0.0,6.78428316116333,30.013900756835938,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm3,4,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.5033333333333334,,1195.0570068359375,100.0,79.52780151367188,2.5,0.0,6.815280914306641,30.02004051208496,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm3,6,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,7.336666666666667,75.0,1195.094970703125,100.0,62.348548889160156,2.5,0.0,6.822774887084961,30.02008056640625,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm3,8,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,20.1,,1194.988037109375,99.65339660644531,36.78160858154297,2.4809889793395996,0.3498497009277344,6.813918113708496,29.99551010131836,7.676278114318848,0.2611,,,,12.5,,18.5,0.0
5L Fermenter,5000ml,Ferm3,10,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,31.466666666666665,,1194.9749755859375,100.0,48.60205078125,2.5,0.0,6.75839376449585,29.99555015563965,11.377220153808594,0.386,,,,0.0,,17.9,0.0
5L Fermenter,5000ml,Ferm3,12,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,42.233333333333334,,1195.3499755859375,98.36756896972656,34.91767883300781,2.498469114303589,1.6349029541015625,6.7498779296875,30.013900756835938,17.15467071533203,0.583,,,,0.0,,14.8,0.0
5L Fermenter,5000ml,Ferm3,14,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,46.86666666666667,,1195.050048828125,92.91657257080078,37.977630615234375,2.480074882507324,7.085940837860107,6.760778903961182,29.989410400390625,29.34691047668457,0.997,,,,7.2,,11.9,1036.0
5L Fermenter,5000ml,Ferm3,16,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,53.833333333333336,,1194.9219970703125,75.55560302734375,33.02267837524414,2.5397748947143555,24.4531192779541,6.694014072418213,30.050840377807617,17.497249603271484,0.595,,,,11.6,,8.2,670.0
5L Fermenter,5000ml,Ferm3,18,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,64.53333333333333,,1194.532958984375,93.35212707519531,40.649269104003906,2.5,6.646518230438232,6.816984176635742,30.014020919799805,18.809999465942383,0.639,,,,0.0,,2.7,0.0
5L Fermenter,5000ml,Ferm3,20,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,44.300000000000004,,1195.2060546875,94.66853332519531,47.840938568115234,2.5000009536743164,5.313891887664795,6.728758811950684,29.989389419555664,18.809999465942383,0.639,,,,0.0,,1.6,0.0
5L Fermenter,5000ml,Ferm3,22,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,53.199999999999996,223.0,1194.1820068359375,89.27761840820312,51.16495895385742,2.117906093597412,10.70736026763916,6.748175144195557,29.977069854736328,24.874500274658203,0.845,,,,,,,
5L Fermenter,5000ml,Ferm3,24,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,56.4,219.0,1195.303955078125,83.61141204833984,37.49612045288086,1.8411610126495361,16.391620635986328,6.7611188888549805,30.007770538330078,24.874500274658203,0.845,,,,,,,
5L Fermenter,5000ml,Ferm3,26,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1195.2919921875,86.1736068725586,39.981361389160156,2.673712968826294,13.826510429382324,6.7420430183410645,30.001739501953125,24.874500274658203,0.845,,,,4.7,,4.19,14231.0
5L Fermenter,5000ml,Ferm3,28,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,86.26666666666665,218.5,1195.072021484375,87.34088897705078,43.08790969848633,2.6429309844970703,12.666899681091309,6.780876159667969,30.007749557495117,24.874500274658203,0.845,,,,,,,
5L Fermenter,5000ml,Ferm3,30,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.800048828125,89.14675903320312,39.0649299621582,2.439284086227417,10.854470252990723,6.728076934814453,30.001710891723633,12.15999984741211,0.413,,,,4.3,,,8516.0
5L Fermenter,5000ml,Ferm3,32,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,161.66666666666666,218.0,1195.0909423828125,92.5997314453125,41.14632034301758,2.3757870197296143,7.398440837860107,6.700486183166504,29.99544906616211,12.15999984741211,0.413,,,,,,,
