input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm3,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.322,,1185.31,100.0,97.25,5.01,0.0,6.75,30.01,0.0,0.0,,4.74,0.24,1.3,18.02
5L Fermenter,5000ml,Ferm3,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.521,,1185.06,100.0,91.32,5.0,0.0,6.84,29.99,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.7,,1184.75,100.0,86.35,5.0,0.0,6.87,29.98,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.45,,1184.76,100.0,74.17,5.0,0.0,6.74,30.01,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.12,,1184.69,100.0,54.39,5.0,0.0,6.73,30.0,0.0,0.0,,0.0,0.0,17.36,11.64
5L Fermenter,5000ml,Ferm3,8.5,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.16,100.0,47.72,5.0,0.0,6.7,30.03,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,8.6,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.47,100.0,45.71,5.0,0.0,6.7,30.02,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,8.75,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.5,51.9999999999999,1185.19,100.0,54.68,5.01,0.0,6.76,30.0,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm3,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,23.1,65.5,1185.14,100.0,57.49,5.0,0.0,6.76,29.98,8.89,0.30226,,0.0,0.0,0.33,10.67
5L Fermenter,5000ml,Ferm3,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,34.4,91.5,1184.33,100.0,43.08,5.0,0.0,6.71,29.97,13.21,0.44914,,0.0,0.0,0.46,10.54
5L Fermenter,5000ml,Ferm3,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.0,122.0,1185.06,95.3,39.59,4.99,4.7,6.7,30.03,19.78,0.67252,,0.0,0.70433,1.34,7.54
5L Fermenter,5000ml,Ferm3,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,49.8,145.0,1185.32,95.74,50.73,4.99,4.25,6.8,29.91,17.9,0.6086,,0.01,3.18216,1.87,6.35
5L Fermenter,5000ml,Ferm3,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,59.3,177.0,1184.86,96.34,38.95,4.99,3.66,6.73,30.0,17.9,0.6086,,0.0,0.0,0.75,2.32
5L Fermenter,5000ml,Ferm3,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,66.6,191.5,1184.9,95.84,40.18,5.0,4.16,6.82,30.02,17.9,0.6086,,0.0,0.0,1.45,0.0
