input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (µg/µl),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm5,0,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.308,,700.5883178710938,100.0,113.89569854736328,5.017330169677734,0.0,6.832377910614014,29.96500015258789,0.0,0.0,,9.51,,35.11,0.27108
5L Fermenter,5000ml,Ferm5,2,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.5403333333333333,,700.25048828125,100.0,105.14550018310547,5.000000953674316,0.0,6.750720024108887,29.995819091796875,0.0,0.0,,10.08,,32.9,0.22888
5L Fermenter,5000ml,Ferm5,4,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,1.5346666666666666,,700.0087890625,100.0,83.89798736572266,5.00264310836792,0.0,6.8800129890441895,30.03883934020996,0.0,0.0,,16.67,,29.31,-0.03325
5L Fermenter,5000ml,Ferm5,6,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,6.133333333333333,28.5,699.9893798828125,91.16636657714844,41.67975997924805,4.631149768829346,8.835273742675781,6.78603982925415,30.051130294799805,0.0,0.0,,28.11,,26.52,-0.0358
5L Fermenter,5000ml,Ferm5,8,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,15.613333333333335,,700.5438232421875,90.76851654052734,35.689178466796875,4.580043792724609,9.23673152923584,6.887790203094482,29.81757926940918,0.0,0.0,,17.05,,22.78,-0.04539
5L Fermenter,5000ml,Ferm5,10,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,31.666666666666668,,699.638427734375,74.63552856445312,39.06962966918945,4.363656044006348,25.364849090576172,6.705029010772705,29.99574089050293,10.393329620361328,0.353,,69.93,,21.02,-0.051789999999999996
5L Fermenter,5000ml,Ferm5,12,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,42.03333333333333,,700.0338745117188,57.14316940307617,18.001649856567383,5.397869110107422,42.97220993041992,6.743589878082275,30.020360946655273,20.243019104003906,0.688,,4.35,,14.96,-0.07225
5L Fermenter,5000ml,Ferm5,14,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,45.96666666666667,,699.7406005859375,52.39973831176758,44.207611083984375,5.447772979736328,47.594661712646484,6.7455339431762695,29.98349952697754,30.189359664916992,1.026,,9.87,,12.24,7.34603
5L Fermenter,5000ml,Ferm5,16,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,64.0,,700.2034301757812,32.79159164428711,43.71400833129883,5.42043399810791,67.20391845703125,6.743589878082275,30.00200080871582,16.309999465942383,0.554,,17.49,,7.33,9.42389
5L Fermenter,5000ml,Ferm5,18,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,63.6,192.99999999999994,700.4224853515625,73.49330139160156,36.46697998046875,6.059999942779541,26.5047607421875,6.721879005432129,29.977399826049805,11.40999984741211,0.387,,68.72,,7.42,0.00639
5L Fermenter,5000ml,Ferm5,20,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,70.13333333333333,209.50000000000003,700.0518188476562,80.78724670410156,38.95745086669922,6.214314937591553,19.214059829711914,6.706974029541016,29.98978042602539,11.40999984741211,0.387,,83.17,,4.58,-0.039
5L Fermenter,5000ml,Ferm5,22,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,75.86666666666667,243.0000000000001,700.1461181640625,78.40946960449219,41.67975997924805,6.017380237579346,21.595539093017578,6.702436923980713,30.008140563964844,14.829999923706055,0.504,,81.54,,3.04,-0.03772
5L Fermenter,5000ml,Ferm5,24,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,83.73333333333333,219.99999999999997,700.1768798828125,77.56008911132812,39.46601104736328,6.0047712326049805,22.440189361572266,6.711510181427002,30.002119064331055,17.0,0.578,,127.07,,1.62,-0.03644
5L Fermenter,5000ml,Ferm5,28,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,81.86666666666667,233.50000000000003,700.4796752929688,87.59575653076172,38.29930114746094,4.956099033355713,12.406660079956055,6.741645812988281,29.99574089050293,19.549999237060547,0.664,,254.45,,0.08,1.41678
5L Fermenter,5000ml,Ferm5,32,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,78.53333333333335,217.99999999999997,699.919921875,95.32887268066406,41.560089111328125,4.960000038146973,4.697597980499268,6.695631980895996,30.00197982788086,11.649999618530273,0.396,,324.97,,-0.38,3.1340500000000002
5L Fermenter,5000ml,Ferm5,36,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,75.39999999999999,223.50000000000003,700.0673828125,99.35157775878906,39.26408004760742,4.979951858520508,0.6609305739402771,6.731276988983154,30.008180618286133,11.649999618530273,0.396,,381.62,,0.13,6.335229999999999
5L Fermenter,5000ml,Ferm5,40,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,73.46666666666665,216.50000000000003,699.8275756835938,100.0,43.661659240722656,5.000000953674316,0.0,6.712158203125,29.977420806884766,11.649999618530273,0.396,,511.66,,0.13,10.42126
