input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm2,0,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.3459999999999999,,1194.9849853515625,100.0,93.54105377197266,2.5,0.0,6.758185863494873,30.211429595947266,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm2,2,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.641,,1194.7640380859375,100.0,83.92086029052734,2.5,0.0,6.8134331703186035,30.0087890625,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm2,4,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.5433333333333334,,1194.2249755859375,100.0,72.89060974121094,2.5,0.0,6.8387980461120605,30.0209903717041,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm2,6,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,6.253333333333334,66.5,1194.821044921875,100.0,48.669551849365234,2.5,0.0,6.7870259284973145,30.070240020751953,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm2,8,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,21.733333333333334,,1195.1400146484375,99.50023651123047,37.957698822021484,2.5,0.5023689270019531,6.8881378173828125,29.97784996032715,7.704248905181885,0.261,,,,0.7,,18.0,0.0
5L Fermenter,5000ml,Ferm2,10,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,32.1,,1195.092041015625,100.0,45.00796127319336,2.4950780868530273,0.0,6.757143974304199,30.027259826660156,11.371109962463379,0.386,,,,0.0,,17.3,0.0
5L Fermenter,5000ml,Ferm2,12,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,43.46666666666667,,1195.1639404296875,99.00422668457031,40.27745819091797,2.4959490299224854,0.9965590834617615,6.702591896057129,30.008710861206055,17.145780563354492,0.583,,,,0.0,,14.5,0.0
5L Fermenter,5000ml,Ferm2,14,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,46.9,,1195.1099853515625,96.58061218261719,43.62065124511719,2.4800000190734863,3.4148330688476562,6.8196868896484375,29.940980911254883,29.378440856933594,0.998,,,,6.1,,11.4,4.55
5L Fermenter,5000ml,Ferm2,16,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,54.46666666666667,,1194.73095703125,89.71449279785156,47.53240966796875,2.470613956451416,10.275970458984375,6.701550006866455,30.064180374145508,20.584999084472656,0.699,,,,10.0,,8.5,0.802
5L Fermenter,5000ml,Ferm2,18,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,62.199999999999996,,1194.93701171875,96.21208190917969,39.50421142578125,2.4800000190734863,3.788646936416626,6.714753150939941,30.06402015686035,22.1299991607666,0.752,,,,0.0,,7.0,0.0
5L Fermenter,5000ml,Ferm2,20,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,45.46666666666667,,1194.4310302734375,96.46150207519531,46.14509963989258,2.4800000190734863,3.5160329341888428,6.774168968200684,29.996559143066406,22.1299991607666,0.752,,,,0.0,,2.7,0.0
5L Fermenter,5000ml,Ferm2,22,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,50.300000000000004,219.0,1194.498046875,92.79947662353516,49.78395080566406,2.4600000381469727,7.182606220245361,6.721354961395264,29.971649169921875,29.270000457763672,0.995,,,,,,,
5L Fermenter,5000ml,Ferm2,24,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,50.666666666666664,220.0,1195.009033203125,93.16403198242188,49.1244010925293,2.4487500190734863,6.824565887451172,6.717879772186279,29.971689224243164,29.270000457763672,0.995,,,,,,,
5L Fermenter,5000ml,Ferm2,26,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.550048828125,92.35635375976562,38.95838165283203,2.4400010108947754,7.645061016082764,6.702939987182617,29.996469497680664,29.270000457763672,0.995,,,,4.7,,4.2,14.23
