input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm5,0,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.2973333333333333,,699.7362060546875,100.0,83.372802734375,2.5,0.0,6.817258834838867,29.928319931030273,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,2,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.5983333333333333,,700.0316772460938,100.0,74.87136840820312,2.5,0.0,6.885456085205078,30.008079528808594,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,4,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.6766666666666663,,699.7379150390625,100.0,54.60187911987305,2.5,0.0,6.892108917236328,30.026460647583008,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,6,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,7.473333333333334,73.0,699.6154174804688,82.05084228515625,38.48101043701172,2.3550779819488525,17.95922088623047,6.83256196975708,30.03887939453125,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,8,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,1.5533333333333335,,700.2401123046875,71.4666519165039,52.102901458740234,2.2600150108337402,28.523120880126953,6.706148147583008,30.00196075439453,8.52025032043457,0.2896885108947754,,,,25.7,,20.8,9858.0
5L Fermenter,5000ml,Ferm5,10,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,1.1333333333333333,,700.7401123046875,100.0,57.99917984008789,2.4851601123809814,0.0,6.867825031280518,30.008100509643555,12.697830200195312,0.43172622680664063,,,,21.0,,20.5,21999.0
5L Fermenter,5000ml,Ferm5,12,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.0366666666666666,,699.8167724609375,100.0,64.90811920166016,2.4870851039886475,0.0,6.881796836853027,30.008140563964844,0.0,0.0,,,,23.5,,24.0,24582.0
5L Fermenter,5000ml,Ferm5,14,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.2399999999999998,,700.4716186523438,100.0,70.07758331298828,2.4800000190734863,0.0,6.896100997924805,30.001800537109375,0.0,0.0,,,,25.0,,25.5,24186.0
5L Fermenter,5000ml,Ferm5,16,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.4433333333333334,,699.9741821289062,100.0,73.10738372802734,2.4800000190734863,0.0,6.891444206237793,29.98348045349121,0.0,0.0,,,,26.7,,26.3,24115.0
5L Fermenter,5000ml,Ferm5,18,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.24,,699.9641723632812,100.0,74.78970336914062,2.4897398948669434,0.0,6.882129192352295,30.001920700073242,0.0,0.0,,,,27.0,,26.6,24147.0
5L Fermenter,5000ml,Ferm5,20,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.1613159179688,100.0,76.3086929321289,2.480004072189331,0.0,6.888782978057861,29.995819091796875,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,22,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.03857421875,100.0,77.51734924316406,2.4929990768432617,0.0,6.877471923828125,29.99,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,24,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.6657104492188,100.0,78.15434265136719,2.5,0.0,6.896100997924805,30.014280319213867,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,26,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.9965209960938,100.0,78.73417663574219,2.5,0.0,6.885122776031494,29.99566078186035,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,28,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.0687255859375,100.0,79.29766845703125,2.5,0.0,6.893773078918457,30.001819610595703,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,30,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.1602783203125,100.0,79.60800170898438,2.5,0.0,6.898097991943359,30.02630043029785,0.0,0.0,,,,31.2,,,23636.0
5L Fermenter,5000ml,Ferm5,32,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.607,35.5,699.788818359375,100.0,79.93466186523438,2.5,0.0,6.89011287689209,30.00201988220215,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,34,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.3178100585938,100.0,80.31848907470703,2.5,0.0,6.879800796508789,29.989599227905273,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,36,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.211181640625,100.0,80.44098663330078,2.5,0.0,6.864498138427734,30.00200080871582,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,38,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.8046264648438,100.0,80.88198852539062,2.5,0.0,6.8515238761901855,30.014299392700195,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,40,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.3574829101562,100.0,81.18415069580078,2.4934380054473877,0.0,6.829899787902832,29.9897403717041,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,42,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.0501708984375,100.0,81.61698150634766,2.5,0.0,6.807610988616943,30.01420021057129,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,44,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.4661865234375,100.0,81.91914367675781,2.5,0.0,6.782993793487549,30.008079528808594,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,46,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.4896240234375,100.0,82.36015319824219,2.5,0.0,6.758708953857422,29.99566078186035,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm5,48,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,5.057,50.0,699.7313842773438,100.0,82.82563781738281,2.5,0.0,6.731098175048828,29.995840072631836,0.0,0.0,0.34,0.48,0.41000000000000003,34.9,,,96.0
