input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (µg/µl),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm4,0,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.28833333333333333,,699.947998046875,100.0,104.46019744873047,5.013671875,0.0,6.700653076171875,29.879150390625,0.0,0.0,,9.32,,31.4,0.25893
5L Fermenter,5000ml,Ferm4,2,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.5423333333333334,,700.10107421875,100.0,100.28130340576172,5.000000953674316,0.0,6.791102886199951,30.143369674682617,0.0,0.0,,10.07,,28.42,0.21418
5L Fermenter,5000ml,Ferm4,4,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,1.6713333333333331,,699.7213134765625,100.0,92.70024108886719,5.001091003417969,0.0,6.899037837982178,30.112689971923828,0.0,0.0,,16.25,,26.4,-0.03197
5L Fermenter,5000ml,Ferm4,6,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,7.253333333333333,33.5,699.8582763671875,100.0,46.383609771728516,4.994204044342041,0.0,6.826073169708252,30.11893081665039,0.0,0.0,,27.76,,25.15,-0.0358
5L Fermenter,5000ml,Ferm4,8,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,14.219999999999999,,700.1826782226562,100.0,55.87998962402344,5.039995193481445,0.0,6.893321990966797,29.903789520263672,0.0,0.0,,36.18,,23.35,-0.04603
5L Fermenter,5000ml,Ferm4,10,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,25.766666666666666,,700.1762084960938,100.0,20.613449096679688,5.019814968109131,0.0,6.740330219268799,29.995880126953125,10.393329620361328,0.353,,73.68,,19.28,-0.053700000000000005
5L Fermenter,5000ml,Ferm4,12,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,28.5,,700.265625,100.0,10.809000015258789,4.9800028800964355,0.0,6.702670097351074,30.03891944885254,20.243019104003906,0.688,,131.85,,18.44,-0.05754
5L Fermenter,5000ml,Ferm4,14,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,35.333333333333336,,700.588623046875,89.80325317382812,45.338871002197266,4.999862194061279,10.16327953338623,6.734950065612793,29.95903968811035,30.189359664916992,1.026,,136.88,,16.18,12.12191
5L Fermenter,5000ml,Ferm4,16,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,43.56666666666666,,699.75341796875,88.11334228515625,34.1816291809082,5.065025806427002,11.90464973449707,6.725534915924072,30.038970947265625,16.309999465942383,0.554,,130.94,,14.05,23.14416
5L Fermenter,5000ml,Ferm4,18,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,45.43333333333334,116.50000000000004,700.1483154296875,93.57199096679688,39.418701171875,4.9601311683654785,6.428412914276123,6.707714080810547,30.00819969177246,11.40999984741211,0.387,,124.01,,13.43,28.444290000000002
5L Fermenter,5000ml,Ferm4,20,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,46.43333333333334,122.50000000000006,700.0089721679688,95.55113220214844,44.026248931884766,4.97313117980957,4.392932891845703,6.720828056335449,30.002059936523438,7.980000019073486,0.271,,116.37,,12.35,30.80986
5L Fermenter,5000ml,Ferm4,22,700,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,49.63333333333333,131.0000000000001,699.9484252929688,94.2716064453125,34.15483093261719,4.991829872131348,5.73551607131958,6.731250762939453,29.76844024658203,5.599999904632568,0.19,,105.54,,11.85,29.09003
