input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm1,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.305,,1185.37194824219,100.0,98.2091598510742,5.00000095367432,0.0,6.77895593643188,0.0,0.0,30.03,,,0.3215,1.65,26.21
5L Fermenter,5000ml,Ferm1,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.501,,1184.80200195312,100.0,82.2098388671875,5.00000095367432,0.0,6.80469608306885,0.0,0.0,30.02,,,,,
5L Fermenter,5000ml,Ferm1,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.55,,1185.29504394531,100.0,74.3537826538086,5.00000095367432,0.0,6.85026121139526,0.0,0.0,30.01,,,0.0,7.74,20.01
5L Fermenter,5000ml,Ferm1,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.59,,1185.05603027344,100.0,66.3794631958008,5.00000095367432,0.0,6.8022608757019,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm1,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.56,,1184.80395507812,100.0,57.8307189941406,5.00018310546875,0.0,6.71565198898315,0.0,0.0,30.0,,,0.0,24.82,19.55
5L Fermenter,5000ml,Ferm1,8.38,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.10803222656,100.0,51.4107093811035,5.00000715255737,0.0,6.71530389785767,0.0,0.0,30.03,,,,,
5L Fermenter,5000ml,Ferm1,8.8,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.07800292969,100.0,48.2682914733887,5.00000095367432,0.0,6.72052192687988,0.0,0.0,30.01,,,,,
5L Fermenter,5000ml,Ferm1,8.83,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.1,47.9999999999999,1184.77099609375,100.0,48.3189697265625,5.00000095367432,0.0,6.72226095199585,0.0,0.0,30.01,,,0.0,20.22,17.92
5L Fermenter,5000ml,Ferm1,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,26.9,60.0000000000001,1185.07495117187,100.0,61.0914001464844,5.00000095367432,0.0,6.71460914611816,8.83,0.30022,29.98,,,0.0,0.87,18.38
5L Fermenter,5000ml,Ferm1,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.3,88.0,1185.14099121094,99.9194030761719,39.2127113342285,5.00000095367432,0.0815773010253906,6.70278310775757,13.12,0.44608,30.01,,,0.0,0.93,13.56
