input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm3,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.292,,1185.01904296875,100.0,99.1892166137695,5.00000095367432,0.0,6.73226499557495,0.0,0.0,30.02,,,0.32844,1.69,27.2
5L Fermenter,5000ml,Ferm3,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.523,,1184.81994628906,100.0,93.5797119140625,5.00000095367432,0.0,6.83906412124634,0.0,0.0,29.99,,,,,
5L Fermenter,5000ml,Ferm3,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.47,,1185.22705078125,100.0,88.8187026977539,5.00000095367432,0.0,6.89030122756958,0.0,0.0,29.99,,,0.0,7.93,20.25
5L Fermenter,5000ml,Ferm3,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.76,,1185.51696777344,100.0,75.5444564819336,5.00000095367432,0.0,6.80845499038696,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm3,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.52,,1185.06994628906,100.0,58.3765411376953,5.00000095367432,0.0,6.70398616790771,0.0,0.0,30.02,,,0.0,25.41,20.62
5L Fermenter,5000ml,Ferm3,8.38,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.02795410156,100.0,49.778450012207,5.00007009506226,0.0,6.72062110900879,0.0,0.0,30.01,,,,,
5L Fermenter,5000ml,Ferm3,8.8,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.7,50.0,1184.76501464844,100.0,45.0174407958984,5.00000095367432,0.0,6.71430015563965,0.0,0.0,30.0,,,0.0,19.36,17.51
5L Fermenter,5000ml,Ferm3,8.83,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,50.0,1184.82702636719,100.0,45.0928611755371,5.00000095367432,0.0,6.71463298797607,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm3,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,24.2,65.5,1184.74194335937,100.0,55.3502388000488,5.00000095367432,0.0,6.71463298797607,8.88,0.30192,30.0,,,0.0,0.9,18.33
5L Fermenter,5000ml,Ferm3,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.5,89.0,1184.74499511719,98.9997711181641,38.6537208557129,4.99999904632568,1.00171995162964,6.71030712127686,13.22,0.44948,30.0,,,0.0,0.9,13.68
