input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm4,0,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.30266666666666664,,699.8438110351562,100.0,91.97728729248047,2.5,0.0,6.689380168914795,29.965240478515625,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,2,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.5906666666666667,,699.7797241210938,100.0,80.63482666015625,2.50227689743042,0.0,6.743850231170654,29.97123908996582,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,4,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.5399999999999996,,699.9876708984375,94.78662109375,32.7606315612793,2.545212984085083,5.221703052520752,6.797636032104492,30.03282928466797,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,6,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,7.696666666666666,71.5,699.9323120117188,14.871930122375488,28.261499404907227,2.0199999809265137,85.15257263183594,6.738368988037109,30.03278923034668,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,8,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,20.766666666666666,,699.8218994140625,0.0,13.089690208435059,2.5116689205169678,100.0,6.697258949279785,30.075929641723633,8.54386043548584,0.29,,,,21.3,,18.3,6071.0
5L Fermenter,5000ml,Ferm4,10,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,35.96666666666667,,700.0968017578125,0.0,25.131040573120117,2.517340898513794,100.0,6.748647212982178,30.002199172973633,12.697830200195312,0.431,,,,4.8,,12.6,0.0
5L Fermenter,5000ml,Ferm4,12,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,40.6,,700.1119995117188,0.0,31.654050827026367,2.5199999809265137,100.0,6.79900598526001,29.977439880371094,19.057199478149414,0.648,,,,14.9,,9.5,2275.0
5L Fermenter,5000ml,Ferm4,14,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,55.166666666666664,,700.1148071289062,24.86284065246582,55.11793899536133,2.4800000190734863,75.11788940429688,6.77708101272583,30.038990020751953,20.584999084472656,0.699,,,,36.7,,7.3,3168.0
5L Fermenter,5000ml,Ferm4,16,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,55.46666666666667,,700.7277221679688,100.0,62.878570556640625,2.4850010871887207,0.0,6.709249019622803,29.99604034423828,17.49799919128418,0.595,,,,121.0,,6.2,0.0
5L Fermenter,5000ml,Ferm4,18,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,58.23333333333333,,700.7999267578125,100.0,55.096099853515625,2.4800000190734863,0.0,6.71644401550293,29.971439361572266,18.809999465942383,0.639,,,,193.0,,5.7,0.0
5L Fermenter,5000ml,Ferm4,20,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,31.400000000000002,,699.776611328125,100.0,70.76294708251953,2.4800000190734863,0.0,6.710619926452637,29.989900588989258,18.809999465942383,0.639,,,,261.0,,10.2,2500.0
5L Fermenter,5000ml,Ferm4,22,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,26.066666666666666,153.0,699.5598754882812,100.0,92.46505737304688,2.5017828941345215,0.0,6.710277080535889,29.977500915527344,18.809999465942383,0.639,,,,307.0,,6.2,8874.0
5L Fermenter,5000ml,Ferm4,24,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.5999999999999996,163.0,700.0661010742188,100.0,104.36810302734375,2.5248899459838867,0.0,6.731860160827637,30.002140045166016,15.979999542236328,0.543,,,,,,,
5L Fermenter,5000ml,Ferm4,26,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.11767578125,100.0,105.58390045166016,2.538240909576416,0.0,6.701369762420654,30.00196075439453,0.0,0.0,,,,407.0,,4.2,14231.0
5L Fermenter,5000ml,Ferm4,28,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,17.8,158.0,699.7910766601562,100.0,113.57019805908203,2.539999008178711,0.0,6.700685024261475,30.008220672607422,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,30,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.7888793945312,100.0,124.84709930419922,2.539999008178711,0.0,6.730832099914551,30.00201988220215,0.0,0.0,,,,466.0,,,0.0
5L Fermenter,5000ml,Ferm4,32,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,55.0,156.0,700.2410888671875,100.0,88.83954620361328,2.539999008178711,0.0,6.894928932189941,30.014419555664062,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm4,34,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.4381713867188,100.0,65.84886169433594,2.5379130840301514,0.0,6.898013114929199,29.965299606323242,0.0,0.0,,,,0.0,,,9.0
