input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm4,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.254,,1185.08,100.0,99.16,5.0,0.0,6.78,0.0,0.0,30.28,,,0.32,1.8,27.47
5L Fermenter,5000ml,Ferm4,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.487,,1185.4990234375,100.0,101.12370300293,5.00000095367432,0.0,6.76224422454834,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm4,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.64,,1184.38793945312,100.0,102.795303344727,5.00000095367432,0.0,6.82701015472412,0.0,0.0,30.0,,,0.0,8.35,22.96
5L Fermenter,5000ml,Ferm4,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,5.22,,1184.9169921875,100.0,91.9205017089844,5.00000095367432,0.0,6.75235891342163,0.0,0.0,30.03,,,,,
5L Fermenter,5000ml,Ferm4,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,13.08,,1185.54296875,100.0,56.2592811584473,5.00000381469727,0.0,6.70906782150269,0.0,0.0,29.99,,,0.0,24.72,20.71
5L Fermenter,5000ml,Ferm4,8.38,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.6,51.0,1185.11999511719,100.0,47.8918991088867,5.00002384185791,0.0,6.70872783660889,0.0,0.0,30.0,,,0.0,20.4,18.62
5L Fermenter,5000ml,Ferm4,8.8,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.14294433594,100.0,79.3647766113281,5.00000095367432,0.0,6.89825201034546,0.0,0.0,29.96,,,,,
5L Fermenter,5000ml,Ferm4,8.83,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,51.0,1184.88098144531,100.0,79.448356628418,5.00000095367432,0.0,6.90097904205322,0.0,0.0,29.95,,,,,
5L Fermenter,5000ml,Ferm4,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,25.1,64.0000000000001,1184.68505859375,100.0,70.3008880615234,5.00000095367432,0.0,6.76803922653198,9.05,0.3077,29.95,,,0.0,0.91,18.56
5L Fermenter,5000ml,Ferm4,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,37.1,90.5,1185.00805664062,100.0,47.7340202331543,5.00000095367432,0.0,6.76428890228271,13.47,0.45798,30.0,,,0.0,1.03,14.24
