input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm2,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.421,,1185.88,100.0,97.67,5.0,0.0,6.73,30.01,0.0,0.0,,4.8,0.24,1.39,15.25
5L Fermenter,5000ml,Ferm2,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.61,,1184.66,100.0,97.96,5.0,0.0,6.89,30.01,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm2,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.8,,1184.56,100.0,98.66,5.0,0.0,6.84,30.01,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm2,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.61,,1184.6,100.0,81.92,5.0,0.0,6.74,30.02,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm2,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.84,,1184.74,100.0,43.67,5.0,0.0,6.87,30.04,0.0,0.0,,0.0,0.0,12.63,11.6
5L Fermenter,5000ml,Ferm2,8.5,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.4,50.9999999999999,1185.13,100.0,40.58,5.0,0.0,6.78,30.01,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm2,8.6,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.97,100.0,68.44,5.0,0.0,6.9,29.96,7.14,0.24276,,,,,
5L Fermenter,5000ml,Ferm2,8.75,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,51.0,1185.23,99.79,37.85,5.0,0.21,6.91,30.03,7.34,0.24956,,,,,
5L Fermenter,5000ml,Ferm2,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,25.1,63.9999999999999,1184.75,100.0,61.1,5.0,0.0,6.76,30.0,9.39,0.31926,,0.01,0.0,0.44,9.7
5L Fermenter,5000ml,Ferm2,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.7,94.0000000000001,1185.18,100.0,42.08,5.0,0.0,6.86,30.01,14.0,0.476,,0.0,0.0,0.42,10.14
5L Fermenter,5000ml,Ferm2,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.2,115.0,1184.76,96.92,39.4,4.93,3.08,6.71,30.02,20.87,0.70958,,0.0,1.132,1.64,7.25
