input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm1,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.353,,1185.44,100.0,96.81,5.01,0.0,6.91,30.19,0.0,0.0,,6.43,0.243,1.95,18.0
5L Fermenter,5000ml,Ferm1,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.547,,1185.32,100.0,97.95,5.0,0.0,6.77534103393555,29.99,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm1,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.59,,1185.22,100.0,94.6,5.0,0.0,6.85,30.01,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm1,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.46,,1184.83,100.0,82.45,5.0,0.0,6.78,30.04,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm1,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.32,,1184.5,100.0,66.11,5.0,0.0,6.71,29.99,0.0,0.0,,0.0,0.0,15.61,14.47
5L Fermenter,5000ml,Ferm1,8.5,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.75,100.0,57.77,5.0,0.0,6.72,29.99,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm1,8.6,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.3,50.0,1184.95,100.0,54.25,5.0,0.0,6.72,29.99,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm1,8.75,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,50.0,1185.07,100.0,70.62,5.01,0.0,6.86,29.98,7.06,0.24004,,,,,
5L Fermenter,5000ml,Ferm1,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,23.4,64.9999999999999,1185.04,100.0,72.47,5.0,0.0,6.76,29.98,9.04,0.30736,,0.01,0.0,0.37,10.22
5L Fermenter,5000ml,Ferm1,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.2,91.5,1184.95,100.0,50.14,5.0,0.0,6.73,29.99,13.48,0.45832,,0.01,0.0,0.37,9.11
5L Fermenter,5000ml,Ferm1,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,43.3,121.0,1185.06,96.71,38.63,4.96,3.28,6.75,30.01,20.16,0.68544,,0.01,0.7781,1.77,8.22
5L Fermenter,5000ml,Ferm1,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,50.9,149.0,1185.04,99.15,38.48,4.96,0.85,6.78,29.93,17.9,0.6086,,0.01,3.57794,2.43,7.84
5L Fermenter,5000ml,Ferm1,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,59.0,171.5,1184.6,98.72,36.19,4.96,1.28,6.72,30.01,17.9,0.6086,,0.01,0.0,0.87,2.45
5L Fermenter,5000ml,Ferm1,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,66.4,189.5,1184.89,98.58,38.73,4.96,1.44,6.77,30.01,17.9,0.6086,,0.0,0.0,0.56,0.0
5L Fermenter,5000ml,Ferm1,22.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,76.8,198.5,1185.34,96.61,39.93,4.93,3.39,6.72,29.97,17.9,0.6086,,0.0,0.0,0.7,0.0
5L Fermenter,5000ml,Ferm1,24.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,77.8,207.5,1184.83,95.93,37.88,4.88,4.1,6.71,29.99,17.9,0.6086,,0.0,0.0,1.59,0.0
5L Fermenter,5000ml,Ferm1,28.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,84.8,212.5,1184.7,95.35,39.71,4.85,4.65,6.73,30.02,17.9,0.6086,,0.01,1.5209,2.32,0.0
5L Fermenter,5000ml,Ferm1,32.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,95.0,215.5,1184.57,95.17,40.41,4.83,4.83,6.7,29.99,17.9,0.6086,,0.01,5.54182,1.79,0.0
