input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation (rpm),input_DO (%),input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp (oC),input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp,output_Feed %,output_Titre sample 1,output_Titre sample 2,output_Titre (µg/µl),output_Feed,output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm3,0,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.3383333333333334,,1196.4749755859375,100.0,98.33033752441406,5.000000953674316,0.0,6.748733997344971,30.08,0.0,,,,0.0,6.78,0.0,9.51,27.15
5L Fermenter,5000ml,Ferm3,2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.524,,1194.3380126953125,100.0,94.6827621459961,5.000000953674316,0.0,6.780488014221191,29.95,0.0,,,,0.0,6.68,0.0,9.71,34.14
5L Fermenter,5000ml,Ferm3,4,1195,100,6.8,5,100,0,30,Media A,Glucose,0,1.2466666666666668,,1195.45703125,100.0,88.77471923828125,5.00264310836792,0.0,6.8885178565979,30.01,0.0,,,,0.0,7.02,0.0,13.14,26.07
5L Fermenter,5000ml,Ferm3,6,1195,100,6.8,5,100,0,30,Media A,Glucose,0,5.95,25.499999999999968,1194.800048828125,100.0,77.08706665039062,5.0009260177612305,0.0,6.875058174133301,30.0,0.0,,,,0.0,5.78,0.0,24.16,24.68
5L Fermenter,5000ml,Ferm3,8,1195,100,6.8,5,100,0,30,Media A,Glucose,0,16.566666666666666,,1194.593017578125,100.0,48.49729919433594,5.000007152557373,0.0,6.677289009094238,30.03,0.0,,,,0.0,1.09,0.0,20.93,19.88
5L Fermenter,5000ml,Ferm3,10,1195,100,6.8,5,100,0,30,Media A,Glucose,0,25.933333333333334,,1194.873046875,100.0,80.19522094726562,5.0075907707214355,0.0,6.893350124359131,30.01,8.81,,,,0.29954000000000003,0.0,-0.03516,1.2,21.23
5L Fermenter,5000ml,Ferm3,12,1195,100,6.8,5,100,0,30,Media A,Glucose,0,33.13333333333333,,1195.2159423828125,100.0,71.05061340332031,5.019999980926514,0.0,6.552001953125,29.97,13.1,,,,0.4454,0.0,-0.03516,0.78,16.57
5L Fermenter,5000ml,Ferm3,14,1195,100,6.8,5,100,0,30,Media A,Glucose,0,42.833333333333336,,1195.22705078125,100.0,44.233238220214844,5.039988994598389,0.0,5.25839900970459,30.03,19.62,,,,0.66708,0.0,-0.03516,0.27,26.72
5L Fermenter,5000ml,Ferm3,16,1195,100,6.8,5,100,0,30,Media A,Glucose,0,50.86666666666667,,1195.470947265625,100.0,49.01103973388672,5.000155925750732,0.0,6.757018089294434,29.98,17.9,,,,0.6085999999999999,0.0,-0.037079999999999995,0.66,17.16
5L Fermenter,5000ml,Ferm3,18,1195,100,6.8,5,100,0,30,Media A,Glucose,0,52.86666666666667,136.5000000000001,1194.9310302734375,100.0,56.10068893432617,5.000000953674316,0.0,6.718361854553223,30.01,17.9,,,,0.6085999999999999,0.0,-0.03516,0.46,19.03
