output_acetate_mmol_l,poly_output_WCW_gl,poly_output_phosphate_mmol_l,poly_output_gasflow,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_gasflow,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l^2,poly_output_phosphate_mmol_l output_gasflow,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l input_Timepoint (hr)_cos,poly_output_gasflow input_Timepoint (hr)_sin,poly_output_feed_%^2,poly_output_feed_% input_Timepoint (hr)_cos,poly_output_glucose_gl^2,poly_output_glucose_gl input_Timepoint (hr)_sin
-0.24083232852065442,-1.6574024838829726,2.073603126314386,0.5141702602665963,0.0,2.7469829935814474,-3.4367949721409605,-0.8521870665046112,2.088861740615189,-0.0,-1.6574024838829726,4.299829925460795,1.0661850591466955,1.2089271284300425,2.073603126314386,0.0,1.5884129539939742,-1.2603225595037066,0.2243840669564105,-0.0
-0.23525674397313776,-1.6574024838829726,1.555213776626996,0.5141702602665963,0.25881904510252074,2.7469829935814474,-2.577615176350602,-0.8521870665046112,2.088861740615189,-0.42896732822913697,-1.6009278637382145,2.4186898910104038,0.7996446722984987,0.9067651788178659,1.5022211522445736,0.13307705578231502,1.5884129539939742,-1.2173781096793712,0.2243840669564105,-0.12260049911743952
-0.2054109678658425,-1.6482521544734923,1.4043931818573199,0.5141688561168434,0.49999999999999994,2.716735164726509,-2.3147940877242106,-0.8474799248577581,2.0773293740335306,-0.824126077236746,-1.427428237616477,1.972320209247327,0.7220952358538721,0.8241366755039512,1.2162401723900982,0.25708442805842163,1.5884129539939742,-1.0914713534928349,0.2243840669564105,-0.2368459768269299
-0.20409906561936803,-0.7423695429349518,1.2933097497814507,0.5269276628468613,0.7071067811865476,0.5511125382774493,-0.9601137678185725,-0.39117504822740684,0.9356250824493754,-0.5249345379556624,-0.5249345379556624,1.6726501088797587,0.6814806837893989,0.7544574626928706,0.9145080942451409,0.37259412359379446,1.5884129539939742,-0.8911826283074571,0.2243840669564105,-0.3349507926221481
-0.3385690458830057,-0.963222391539277,0.7740172827601106,0.5288931214635281,0.8660254037844386,0.9277973755626443,-0.7455507781929266,-0.5094416973247728,1.2139709098760632,-0.834175060567015,-0.4816111957696386,0.599102754011345,0.4093724167457131,0.4510571198723907,0.3870086413800554,0.45803487907426405,1.5884129539939742,-0.6301612797518534,0.2243840669564105,-0.4102292654325235
-0.3358359162028504,-0.9583048675709168,1.0386306616075065,0.5252577777531868,0.9659258262890683,0.9183482192101124,-0.9953248186268753,-0.5033570851503618,0.21340913120902494,-0.925651421045274,-0.24802755074180227,1.0787536512312468,0.5455488332222811,0.6072815175271803,0.26881739605145416,0.5073600529910068,0.04959279751482891,-0.057637552959200554,0.22931615560716626,-0.4625525763960015
-0.3404275740655113,-0.5399418474272674,0.9230316428618863,0.5142064171227343,1.0,0.29153719860317046,-0.4983834104806726,-0.2776415628202052,-0.15257414963607413,-0.5399418474272674,-3.3061902758875575e-17,0.8519874137243129,0.4746287939669218,0.5404021985132007,5.65193873471266e-17,0.5142064171227343,0.07984871655729074,1.730273777396157e-17,0.22923202508798496,-0.4787818136562676
-0.33124425834018967,-0.20772886743817998,0.6259060399922849,0.5141783341276757,0.9659258262890683,0.04315128236714895,-0.13001875281031353,-0.10680968300959215,-0.21797257402760464,-0.20065067792431632,0.05376418711057783,0.39175837089882376,0.3218273249636834,0.36654010119611324,-0.16199640359470327,0.4966581322522118,1.1010574986849169,-0.2715821549701191,0.22738767709380714,-0.4606035073490958
-0.3386783710702119,0.25271321856131057,0.9230316428618863,0.47036535146181013,0.8660254037844387,0.06386397083561672,0.23326229730156145,0.11886754186763608,0.26190117373522137,0.2188560671462241,-0.12635660928065523,0.8519874137243129,0.43416210310510317,0.5387238577608032,-0.46151582143094294,0.4073483434259235,1.0740363291916222,-0.518178620070247,0.22923202508798496,-0.41463721349631505
-0.3259966493542916,0.3967530978370741,0.24659675973321912,0.5141702602665963,0.7071067811865476,0.15741302064331486,0.09783802834073933,0.20399864357646671,0.4111779454916216,0.28054680593736486,-0.2805468059373648,0.060809961910923,0.12679272013292858,0.14367457465355774,-0.174370241025989,0.3635732777189623,1.0740363291916222,-0.7328152322351188,0.0015667625354330848,-0.02798894902843875
