output_D0_%,output_Ph,output_acetate_mmol_l,poly_output_WCW_gl,poly_output_phosphate_mmol_l,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_gasflow,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l^2,poly_output_phosphate_mmol_l output_gasflow,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l input_Timepoint (hr)_cos,poly_output_gasflow input_Timepoint (hr)_sin,poly_output_feed_% input_Timepoint (hr)_cos,poly_output_glucose_gl^2,poly_output_glucose_gl input_Timepoint (hr)_sin
0.2673021554581091,0.4440970213746788,-0.24866681174166663,-1.6213346317569686,1.6536959250575511,0.0,2.628725988134505,-2.681194473691184,-0.7567576253602174,1.9628149328515965,-0.0,-1.6213346317569686,2.73471021255195,0.7718622527406837,0.9858905360167491,1.6536959250575511,0.0,-1.2106167933541152,0.22194479293801403,-0.0
0.2408010373138803,0.6402386173894429,-0.24206421647512555,-1.6213346317569686,1.4169797679541636,0.25881904510252074,2.628725988134505,-2.2973983702830387,-0.7567576253602174,1.9628149328515965,-0.4196322811829857,-1.5660889938709321,2.0078316627914354,0.6613750322587322,0.8477588776838162,1.3686973531960178,0.12080373917476507,-1.169366026439996,0.22724534999431456,-0.1233797066120523
0.22092523940177894,1.1480790464725572,-0.184805644409548,-1.607665130912599,1.2295428108425601,0.49999999999999994,2.5845871731522245,-1.9766931039558495,-0.7677498445891009,1.9462664055726346,-0.8038325654562994,-1.3922788441487461,1.5117755236946235,0.5871753288597894,0.7331812792314799,1.064815309230182,0.23877791146508345,-1.04842489729272,0.25906302539947884,-0.25449117145761596
0.09263511041850185,0.9990702121443791,-0.10211084467778757,-1.2639210775693301,1.111624725147936,0.7071067811865476,1.5974964903240167,-1.4050059204616898,-0.5899331042999993,1.5301240819796604,-0.8937271648338817,-0.8937271648338817,1.2357095295602245,0.5188490298653031,0.662831044968035,0.7860373812867377,0.33004093839401816,-0.8560353439990083,0.25922461375689,-0.36001709248096125
-0.5506208121729295,0.2844475116804688,-0.2799479598077383,-1.0478426376165932,0.989306710882617,0.8660254037844386,1.097974193207299,-1.0366377533430378,-0.511297031988818,1.2685358938911182,-0.9074583433444613,-0.5239213188082967,0.9787277681973819,0.4827343026921046,0.5894537221771952,0.4946533554413086,0.4225789280622123,-0.6053083966770577,0.2606913850694459,-0.44217478309157837
-0.012164921264125626,0.30269044595624073,-0.36188508467284647,-0.7376452950611112,0.8828284394717998,0.9659258262890683,0.5441205813257938,-0.6512142447225161,-0.32645941597446,0.011931289713736663,-0.7125106411401474,-0.19091665089208396,0.7793860535402133,0.39071306857821236,0.526813061777494,0.22849281369343974,0.42748944951767437,-0.004186354920483859,0.26249000965857994,-0.49488030182183085
-0.6012138411042498,0.6128679982067748,-0.3486798941397643,-0.24096586300492132,0.4577953395426701,1.0,0.058064547133706505,-0.11031304907253048,-0.10573529480819753,-0.26972394526309146,-0.24096586300492132,-1.4754903641637824e-17,0.2095765729069886,0.20087959590929494,0.2728786838881094,2.803187986177533e-17,0.43879781762298037,6.854011645066395e-17,0.26429353275546125,-0.5140948674665613
-0.782505880807423,0.4547418419200509,-0.2658768551413393,0.05167432250274683,0.29499798242695785,0.9659258262890683,0.0026702356061178876,0.015243820881590263,-0.02294936863511612,0.11689135498056093,0.04991356266139353,-0.013374298806480629,0.08702380963597574,-0.13101318251384703,0.17594536472020117,-0.07635109611891538,-0.42898265111281575,-0.5854689023779724,0.00039153183782927864,0.019112932215908724
-0.5717012137635994,0.38479608573523477,-0.2415230201418025,0.42463850150416316,-0.005957131808575055,0.8660254037844387,0.18031785695970118,-0.0025296275244560966,-0.18521177205795086,0.6246927567794942,0.36774772972756187,-0.2123192507520815,3.5487419384736704e-05,0.0025982828564549147,-0.0035506868840789667,0.0029785659042875262,-0.3777285835221086,-0.7355583096759886,0.15001702831013927,0.335429234314191
-0.738538334892511,0.5900612214775549,-0.32010472774030785,0.8680194210937754,-0.4661896603032643,0.7071067811865476,0.753457715395973,-0.40466167905634326,0.33106126698584554,0.5777185194862701,0.6137824188570299,-0.6137824188570299,0.21733279937367297,-0.1778040166442612,-0.2778071942952077,0.3296458701194912,0.2696894345738507,-0.4706215930411325,0.259550488296838,-0.36024331242705815
