input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.232,,1185.23901367187,100.0,96.3794174194336,5.00000095367432,0.0,6.3892560005188,0.0,0.0,30.13,,,,
2.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.395,,1184.82897949219,100.0,82.7650375366211,5.00000095367432,0.0,6.39635419845581,0.0,0.0,30.01,,,,
4.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.41,,1184.77197265625,100.0,75.5858688354492,5.00000095367432,0.0,6.37979316711426,0.0,0.0,30.01,,,,
6.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,3.6,,1185.57397460937,100.0,65.8152465820312,5.00000286102295,0.0,6.22397899627686,0.0,0.0,30.04,,,,
8.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,7.86,,1185.43395996094,100.0,57.9045295715332,5.00000095367432,0.0,6.23411893844604,0.0,0.0,30.01,,,,
9.75,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,14.5,52.9999999999999,1184.78100585937,100.0,48.1339111328125,5.00000095367432,0.0,6.40176200866699,0.0,0.0,30.0,,0.0,9.7,26.21
12.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,26.9,73.5,1185.11401367187,100.0,47.4271507263184,5.00000095367432,0.0,6.24527311325073,10.89,0.37026,29.99,,0.0,0.41,22.67
14.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,38.8,106.0,1184.69799804687,97.7331314086914,38.4748916625977,5.14706516265869,2.27745389938354,6.22093677520752,16.39,0.55726,30.01,,0.0,0.48,18.34
16.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,41.9,133.0,1185.02905273437,91.3020629882812,34.4699287414551,4.91948080062866,8.70479965209961,6.22871112823486,24.37,0.82858,30.04,,4.16566,2.31,13.68
18.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,52.2,166.5,1185.22094726562,93.2139892578125,43.5833892822266,5.01999998092651,6.78121900558472,6.1851110458374,17.9,0.6086,29.97,,0.0,1.7,5.97
20.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,58.1,181.0,1184.88000488281,96.0534286499023,40.9299392700195,5.00368690490723,3.94533205032349,6.25980615615845,17.9,0.6086,30.01,,0.0,0.78,0.48
22.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,68.7,198.5,1185.3310546875,91.2608337402344,38.6608810424805,5.02111482620239,8.74093627929687,6.31320905685425,17.9,0.6086,30.04,,0.0,0.54,0.0
24.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,80.8,203.5,1184.68798828125,91.0148010253906,40.5207710266113,5.00000095367432,8.98516845703125,6.23851299285889,17.9,0.6086,30.02,,0.46271,1.6,0.0
28.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,85.4,199.5,1185.16198730469,94.5665588378906,40.1115989685059,5.00656318664551,5.43330383300781,6.25034189224243,17.9,0.6086,26.01,,10.6663,1.14,0.01
32.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,88.8,193.5,1184.6669921875,93.6624069213867,39.752010345459,5.006591796875,6.33790588378906,6.25913000106812,12.5,0.425,25.98,,11.42278,1.63,0.0
36.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,85.2,186.0,1184.98706054687,94.2826995849609,39.925609588623,4.99499893188477,5.71740293502808,6.2273588180542,12.5,0.425,25.98,,11.97122,2.96,0.08
40.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,90.0,180.0,1185.10595703125,95.8346710205078,40.1983909606934,4.99999094009399,4.16693878173828,6.21552896499634,8.75,0.2975,25.98,,11.42278,2.55,0.0
44.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,91.0,183.5,1185.13696289062,98.8924865722656,40.5207710266113,4.99999904632568,1.10623204708099,6.21992301940918,6.1,0.2074,26.0,,5.72589,5.77,0.0
48.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,82.0,188.0,1184.45397949219,97.7440872192383,38.6112785339355,4.98000001907349,2.25950598716736,6.27873420715332,4.27,0.14518,26.0,,0.31961,5.38,0.26
