output_Ph,output_acetate_mmol_l,poly_output_WCW_gl,poly_output_phosphate_mmol_l,poly_output_feed_%,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_glycerol_gl,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l output_gasflow,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l output_glycerol_gl,poly_output_gasflow output_glucose_gl,poly_output_gasflow input_Timepoint (hr)_sin,poly_output_gasflow input_Timepoint (hr)_cos,poly_output_agitation input_Timepoint (hr)_sin,poly_output_agitation input_Timepoint (hr)_cos,poly_output_feed_% input_Timepoint (hr)_sin,poly_output_feed_% input_Timepoint (hr)_cos,poly_output_glycerol_gl input_Timepoint (hr)_sin,poly_output_glycerol_gl input_Timepoint (hr)_cos,poly_output_glucose_gl^2
0.314347183295882,0.5844418242493722,-1.6117017042520008,1.5214957172255645,-1.267502210149243,0.0,2.597582383488804,-2.4521972404645624,-3.18243251881738,-0.0,-1.6117017042520008,-3.4079442961042075,0.2479956177641861,3.004313661123312,1.0178431752326431,-0.0,-2.23986453430087,0.0,0.162994620988092,-0.0,-1.267502210149243,0.0,1.9745791112719357,0.206499132469567
0.5371843804369458,0.976841487080753,-1.6117017042520008,1.5797821845144964,-1.267502210149243,0.25881904510252074,2.597582383488804,-2.5461376391289625,-4.343945393248031,-0.41713909608460814,-1.5567843004111135,-3.5384980870143736,0.26651313652316294,4.257914181422284,1.0475236539507116,-0.5797195999267535,-2.1635430010701473,0.043663408904311404,0.1629540604625455,-0.32805371169616165,-1.224313119661628,0.6975830550354483,2.6034154038914097,0.21871782095597384
0.6535663738574036,0.8501948064878326,-1.6117017042520008,1.535443798334664,-1.267502210149243,0.49999999999999994,2.597582383488804,-2.4746773865591436,-4.348624582611409,-0.8058508521260003,-1.395774619204907,-3.439186108302031,0.2497093702674929,4.1428687635192505,1.0636916791046902,-1.1199322671504348,-1.9397795877403547,0.08131504732974486,0.1408417933949861,-0.6337511050746214,-1.0976891133421667,1.3490786077655814,2.3366726920542726,0.22552153419856497
0.6876288474173439,0.7681639422295043,-0.7560715658899004,1.4662421971684567,-1.267502210149243,0.7071067811865476,0.571644212747206,-1.1085840339870032,-1.6879607066615112,-0.5346233313030803,-0.5346233313030803,-3.2841838961330097,0.24329477996547832,3.2734456986969933,1.073878047775858,-1.5838234011433936,-1.5838234011433936,0.11733081279007383,0.11733081279007383,-0.8962594079654662,-0.8962594079654662,1.5786448213430095,1.5786448213430095,0.22986159860076016
0.717435813439013,1.076325470083651,-0.6635300083720137,0.6904681757060628,-0.40602874088034774,0.8660254037844386,0.44027207201016455,-0.45814635440685286,0.34954342807010585,-0.5746338434234651,-0.3317650041860069,-1.5465551788274317,0.11455296323856681,-0.3637342849071194,1.0759567522139033,-1.9397795877403545,-1.1199322671504353,0.14367899887918423,0.08295310867979297,-0.35163120426899036,-0.20301437044017392,-0.45621672662149054,-0.2633968499237275,0.2307523455127465
0.5825996479054795,-0.7329128241009412,-0.61413405570345,0.507969918203819,0.00786893221278658,0.9659258262890683,0.37716063837476826,-0.3119616260418611,0.3341614383435561,-0.5932079452076117,-0.15894958986210522,-1.137783804276448,0.08124782510415392,-0.2763956125309094,1.0759567522139033,-2.1635430010701473,-0.5797195999267535,0.15449610259485944,0.041397105924048466,0.007600804849648544,0.0020366295212898883,-0.525577698302735,-0.1408281198200261,0.2307523455127465
0.6010538200185552,-0.17807974721766626,0.03614484945174641,0.16035418962811676,0.657835513419757,1.0,0.0013064501418894128,0.005795978043065076,-0.01966706579668844,0.03614484945174641,2.21323370933721e-18,-0.37295160068505784,0.02684398293599457,-0.08725161249878854,1.109258202359171,-2.32579891769578,-1.4241411000082577e-16,0.16740431290413693,1.0250557798075663e-17,0.657835513419757,4.0280807793748056e-17,-0.5441180720075786,-3.3317622762115504e-17,0.22746834581603984
0.4917629752171589,0.026967259456587556,0.5472776618931626,-0.07428642716048217,2.0244188722932503,0.9659258262890683,0.2995128392072468,-0.040655302166785416,-0.2977315715064662,0.5286296277737025,-0.14164588185712848,0.17158645678359236,-0.012441581241747149,0.04041351628272499,-2.739096686095437,-2.2310911479247024,0.5978190713266502,0.16177443310492337,-0.04334732870646688,1.9554384719750417,-0.5239581594144607,-0.5254857529263961,0.14080348313068822,1.4062665771144365
0.48892733413636863,1.1848797677347267,0.6743478398882152,-0.50880608788011,0.6898712524905505,0.8660254037844387,0.45474500916190197,-0.34311228628392554,-0.3539583855430719,0.5840023603303556,-0.33717391994410745,1.064520404765354,-0.08482416921038119,0.26706718813006675,0.5083832849920498,-1.8118920652358972,1.0460963716064917,0.14437697806872407,-0.08335608715276249,0.5974460299974055,-0.3449356262452751,-0.4545680072373935,0.26244496134350076,0.05904445840164524
0.7742100125673895,-0.7329128241009412,0.8942629903438356,-0.8303506368126344,0.8369119421291106,0.7071067811865476,0.799706295898699,-0.7425518435099746,-0.4864569683643855,0.6323394246362862,-0.6323394246362861,1.8907134765057527,-0.1413478489971986,0.45169022739944087,1.093798337046306,-1.610086463773839,1.6100864637738388,0.12036845412163412,-0.1203684541216341,0.5917861095354976,-0.5917861095354975,-0.38464861545220713,0.3846486154522071,0.2307523455127465
