iter	RMSE
0	44.60313092
1	43.33441513
2	42.05281713
3	40.84589848
4	39.66423918
5	38.59682005
6	37.5473375
7	36.47966044
8	35.47930757
9	34.56001255
10	33.58587196
11	32.70386139
12	31.83957898
13	31.04211636
14	30.21137489
15	29.44719318
16	28.71520993
17	27.94812059
18	27.20687415
19	26.48070215
20	25.77530418
21	25.15883165
22	24.53487751
23	23.94459223
24	23.37386277
25	22.79080684
26	22.23835338
27	21.69550916
28	21.23241605
29	20.75018865
30	20.2630736
31	19.8423972
32	19.40852632
33	19.00659802
34	18.58549535
35	18.20135529
36	17.83224136
37	17.49217137
38	17.19741781
39	16.84907334
40	16.53897245
41	16.22227008
42	15.93672004
43	15.65514023
44	15.38156822
45	15.11644664
46	14.82554351
47	14.55805994
48	14.3187801
49	14.09477171
50	13.8850938
51	13.65822407
52	13.41593709
53	13.21947258
54	13.02644624
55	12.85794933
56	12.66323562
57	12.472771
58	12.31890512
59	12.13537603
60	11.93899913
61	11.77949816
62	11.62476355
63	11.473955
64	11.33461264
65	11.18150285
66	11.05205491
67	10.92024023
68	10.81057792
69	10.67662287
70	10.57796894
71	10.47902097
72	10.34806891
73	10.22511639
74	10.11982852
75	10.01339265
76	9.917134924
77	9.828554047
78	9.745165641
79	9.63370452
80	9.534186977
81	9.438704851
82	9.36742795
83	9.271007132
84	9.185870914
85	9.124182567
86	9.063293401
87	8.988040027
88	8.89213213
89	8.820737298
90	8.755375689
91	8.682814763
92	8.61142357
93	8.546452288
94	8.470772326
95	8.426133906
96	8.363255519
97	8.32028506
98	8.25403114
99	8.218236539
100	8.171968048
101	8.116225789
102	8.07957846
103	8.040659606
104	7.995927573
105	7.951588404
106	7.908770924
107	7.860970728
108	7.817305282
109	7.764562223
110	7.723226089
111	7.68747497
112	7.656935698
113	7.622174208
114	7.570903061
115	7.52035038
116	7.482027975
117	7.442717749
118	7.408867961
119	7.37286189
120	7.353550504
121	7.327006883
122	7.296812154
123	7.257316587
124	7.23515689
125	7.210804523
126	7.183549735
127	7.151418372
128	7.120446925
129	7.100421227
130	7.059517528
131	7.034861202
132	7.020036752
133	6.998581867
134	6.96562917
135	6.945188152
136	6.920781601
137	6.890941298
138	6.865677631
139	6.84435188
140	6.8209162
141	6.792187033
142	6.764957184
143	6.726469043
144	6.695449059
145	6.668414974
146	6.644083476
147	6.622343635
148	6.594628217
149	6.569522372
150	6.558458831
151	6.544980126
152	6.518612541
153	6.490898431
154	6.466514416
155	6.439835229
156	6.415425878
157	6.392346842
158	6.369215625
159	6.340188514
160	6.319713043
161	6.2981754
162	6.284046921
163	6.267440078
164	6.246505688
165	6.220500282
166	6.200053395
167	6.176521106
168	6.147015587
169	6.132664462
170	6.120785415
171	6.093145479
172	6.078431045
173	6.064280767
174	6.03692131
175	6.024989466
176	6.009675163
177	5.982016312
178	5.96650983
179	5.950948751
180	5.933662359
181	5.922264018
182	5.908138409
183	5.879588234
184	5.86313109
185	5.842320024
186	5.828890095
187	5.813348186
188	5.804123528
189	5.790042264
190	5.777286987
191	5.759060891
192	5.743441859
193	5.734432338
194	5.719279873
195	5.704624356
196	5.684080437
197	5.667893391
198	5.658217927
199	5.640729439
200	5.626368515
201	5.618241248
202	5.604119631
203	5.590041808
204	5.580254517
205	5.566991023
206	5.548171149
207	5.524869482
208	5.511884684
209	5.497993586
210	5.483477798
211	5.475165722
212	5.456549026
213	5.444542313
214	5.433921441
215	5.422079336
216	5.405027549
217	5.38629292
218	5.379937087
219	5.362529108
220	5.348978282
221	5.335610072
222	5.31775382
223	5.304373691
224	5.290802097
225	5.27730156
226	5.265974942
227	5.260606859
228	5.248414469
229	5.237805831
230	5.22294378
231	5.206010862
232	5.193596543
233	5.18278543
234	5.17372026
235	5.159507282
236	5.139890029
237	5.124327564
238	5.117872848
239	5.109675107
240	5.094666074
241	5.088162306
242	5.083418671
243	5.070080061
244	5.06006764
245	5.053668517
246	5.044354538
247	5.040490236
248	5.03113801
249	5.025091693
250	5.009813351
251	4.991701542
252	4.982262032
253	4.972700116
254	4.962451459
255	4.956729557
256	4.942202554
257	4.932953612
258	4.924041067
259	4.915157316
260	4.900978217
261	4.895194236
262	4.886404836
263	4.873461539
264	4.865414878
265	4.855523923
266	4.847913646
267	4.839507588
268	4.831377455
269	4.824788004
270	4.816618128
271	4.805824514
272	4.800522145
273	4.796430307
274	4.790426855
275	4.780421426
276	4.774858753
277	4.764447888
278	4.759306175
279	4.740970115
280	4.731323152
281	4.724500553
282	4.719506227
283	4.708095336
284	4.695908301
285	4.689438026
286	4.670062176
287	4.664793632
288	4.659766568
289	4.656432595
290	4.636308209
291	4.618618949
292	4.606260469
293	4.596715625
294	4.581286505
295	4.560570293
296	4.550893136
297	4.53617539
298	4.531577057
299	4.527076595
300	4.524045017
301	4.516536456
302	4.50816836
303	4.496023773
304	4.485136722
305	4.480633233
