input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
44.0,98.6,200.0,1185.18,99.37,39.81,4.92,0.63,6.73,12.5,0.425,30.01,0.0,0.0,0.69,0.0
48.0,98.6,200.5,1184.93,99.48,40.11,4.9,0.52,6.73,12.5,0.425,30.0,0.01,0.0,0.78,0.0
0.0,0.421,62.91,1185.88,100.0,97.67,5.0,0.0,6.73,0.0,0.0,30.01,4.8,0.24,1.39,15.25
2.0,0.61,57.475,1184.66,100.0,97.96,5.0,0.0,6.89,0.0,0.0,30.01,4.7086000000000015,0.19754229999999992,5.1892000000000005,21.297500000000003
4.0,1.8,60.88,1184.56,100.0,98.66,5.0,0.0,6.84,0.0,0.0,30.01,4.677100000000002,-0.0011891000000000002,6.928800000000006,22.23910000000002
6.0,4.61,60.815,1184.6,100.0,81.92,5.0,0.0,6.74,0.0,0.0,30.02,4.680300000000002,-0.005555699999999998,6.790400000000002,21.50780000000001
8.0,11.84,60.21,1184.74,100.0,43.67,5.0,0.0,6.87,0.0,0.0,30.04,0.0,0.0,12.63,11.6
8.5,16.4,50.9999999999999,1185.13,100.0,40.58,5.0,0.0,6.78,0.0,0.0,30.01,0.9612000000000002,0.6851404999999999,17.414799999999982,17.7702
8.6,60.25600000000003,168.25,1184.97,100.0,68.44,5.0,0.0,6.9,7.14,0.24276,29.96,0.006900000000000004,0.8588062000000002,3.6096999999999984,4.0061
8.75,17.224999999999987,51.0,1185.23,99.79,37.85,5.0,0.21,6.91,7.34,0.24956,30.03,0.3960999999999999,0.08690300000000002,18.329899999999977,17.8118
10.0,25.1,63.9999999999999,1184.75,100.0,61.1,5.0,0.0,6.76,9.39,0.31926,30.0,0.01,0.0,0.44,9.7
12.0,36.7,94.0000000000001,1185.18,100.0,42.08,5.0,0.0,6.86,14.0,0.476,30.01,0.0,0.0,0.42,10.14
14.0,44.2,115.0,1184.76,96.92,39.4,4.93,3.08,6.71,20.87,0.70958,30.02,0.0,1.132,1.64,7.25
16.0,49.3,143.0,1185.23,88.1,38.56,4.73,11.9,6.72,17.9,0.6086,30.03,0.01,3.55543,2.43,5.13
18.0,58.0,171.0,1185.27,98.25,35.26,4.95,1.74,6.71,17.9,0.6086,30.0,0.0,0.0,0.91,2.51
20.0,65.3,187.0,1185.43,99.03,39.09,4.99,0.97,6.77,17.9,0.6086,29.99,0.0,0.0,0.66,0.36
22.0,75.6,202.5,1185.49,95.76,39.11,4.88,4.26,6.72,17.9,0.6086,30.02,0.0,0.0,0.72,0.0
