input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
36.0,95.0,217.0,1185.06,100.0,40.73,5.01,0.0,6.78,8.8,0.2992,30.03,0.01,0.0,1.04,0.0
40.0,95.0,204.0,1184.9,100.0,41.59,5.0,0.0,6.71,8.8,0.2992,30.01,0.01,0.0,0.67,0.0
44.0,97.4,201.0,1185.44,100.0,40.34,5.0,0.0,6.71,8.8,0.2992,30.01,0.01,0.0,0.53,0.0
48.0,100.0,205.5,1185.09,100.0,41.04,4.97,0.0,6.71,8.8,0.2992,30.0,0.01,0.0,0.57,0.0
0.0,0.363,,1184.84,100.0,98.53,5.0,0.0,6.71,0.0,0.0,30.09,1.08,0.24,1.32,16.72
2.0,0.582,,1184.79,100.0,96.29,5.0,0.0,6.82,0.0,0.0,29.98,,,,
4.0,1.79,,1184.84,100.0,90.76,5.0,0.0,6.85,0.0,0.0,30.0,,,,
6.0,4.64,,1184.68,100.0,77.19,5.0,0.0,6.76,0.0,0.0,30.0,,,,
8.0,11.18,,1184.96,100.0,58.08,5.0,0.0,6.71,0.0,0.0,30.0,0.0,0.0,13.02,11.01
8.5,,,1184.77,100.0,50.48,5.0,0.0,6.7,0.0,0.0,30.0,,,,
8.6,16.5,48.9999999999999,1184.61,100.0,49.44,5.0,0.0,6.7,0.0,0.0,30.04,,,,
8.75,,49.0,1185.14,100.0,56.85,5.0,0.0,6.84,7.06,0.24004,29.94,,,,
10.0,23.7,65.5,1184.58,100.0,63.91,5.0,0.0,6.75,9.06,0.30804,30.0,0.0,0.0,0.3,9.95
12.0,36.0,95.0,1185.07,100.0,46.09,5.0,0.0,6.71,13.47,0.45798,30.01,0.0,0.0,0.33,8.76
14.0,44.7,125.0,1184.56,94.78,39.11,4.92,5.22,6.74,20.15,0.6851,29.95,0.01,1.01008,1.33,7.78
